metabolites,numerator,denominator,p-value,q-value,FC
methylsuccinate,CK10,N2,0.6791,0.9697,0.79
valine,CK10,N2,0.6277,0.9576,0.95
N-acetylvaline,CK10,N2,0.3726,0.9340,0.48
3-methyl-2-oxobutyrate,CK10,N2,0.8809,0.9927,0.90
alpha-hydroxyisovalerate,CK10,N2,0.4435,0.9340,0.75
isobutyrylcarnitine (C4),CK10,N2,0.4053,0.9340,0.75
3-hydroxyisobutyrate,CK10,N2,0.6695,0.9697,0.91
methionine,CK10,N2,0.6049,0.9569,0.91
N-acetylmethionine,CK10,N2,0.2773,0.8812,0.55
N-formylmethionine,CK10,N2,0.2090,0.8598,0.39
methionine sulfone,CK10,N2,0.6233,0.9576,0.64
methionine sulfoxide,CK10,N2,0.4467,0.9340,0.62
N-acetylmethionine sulfoxide,CK10,N2,0.0790,0.7217,0.46
S-adenosylmethionine (SAM),CK10,N2,0.4879,0.9340,0.36
S-adenosylhomocysteine (SAH),CK10,N2,0.9501,0.9936,0.62
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",CK10,N2,0.3015,0.8938,0.63
2-hydroxy-4-(methylthio)butanoic acid,CK10,N2,0.1769,0.8598,0.36
cystathionine,CK10,N2,0.5677,0.9540,0.70
cysteine,CK10,N2,0.8008,0.9881,0.95
N-acetylcysteine,CK10,N2,0.6974,0.9697,0.75
S-methylcysteine,CK10,N2,0.5086,0.9340,0.49
S-methylcysteine sulfoxide,CK10,N2,0.5157,0.9340,0.47
cysteine s-sulfate,CK10,N2,0.5780,0.9540,0.39
cystine,CK10,N2,0.4764,0.9340,0.08
lanthionine,CK10,N2,0.5060,0.9340,0.80
hypotaurine,CK10,N2,0.8976,0.9927,1.03
taurine,CK10,N2,0.1724,0.8598,0.38
N-acetyltaurine,CK10,N2,0.5860,0.9540,0.68
3-sulfo-alanine,CK10,N2,0.8721,0.9927,1.04
cyano-alanine,CK10,N2,0.2386,0.8798,2.73
arginine,CK10,N2,0.5171,0.9340,0.88
argininosuccinate,CK10,N2,0.8575,0.9927,1.01
urea,CK10,N2,0.5925,0.9553,0.64
ornithine,CK10,N2,0.8854,0.9927,1.17
3-amino-2-piperidone,CK10,N2,0.2826,0.8813,0.50
2-oxoarginine*,CK10,N2,0.7881,0.9881,0.82
citrulline,CK10,N2,0.2956,0.8938,0.37
homoarginine,CK10,N2,0.4129,0.9340,0.45
homocitrulline,CK10,N2,0.5652,0.9540,0.28
proline,CK10,N2,0.2618,0.8812,0.71
dimethylarginine (SDMA + ADMA),CK10,N2,0.1132,0.7521,0.60
N-acetylarginine,CK10,N2,0.4398,0.9340,0.79
N-delta-acetylornithine,CK10,N2,0.3765,0.9340,0.77
trans-4-hydroxyproline,CK10,N2,0.5034,0.9340,0.29
pro-hydroxy-pro,CK10,N2,0.4229,0.9340,0.42
N-methylproline,CK10,N2,0.4510,0.9340,0.70
N-monomethylarginine,CK10,N2,0.9105,0.9927,0.96
argininate*,CK10,N2,0.5883,0.9540,0.70
creatine,CK10,N2,0.8799,0.9927,0.89
agmatine,CK10,N2,0.9878,1.0000,1.22
acetylagmatine,CK10,N2,0.8723,0.9927,1.38
putrescine,CK10,N2,0.7004,0.9697,0.81
N-acetylputrescine,CK10,N2,0.3505,0.9340,0.23
N-carbamoylputrescine,CK10,N2,0.7162,0.9791,0.25
isoputreanine,CK10,N2,0.6785,0.9697,0.52
N-acetyl-isoputreanine,CK10,N2,0.6827,0.9697,0.61
spermidine,CK10,N2,0.7633,0.9872,1.30
N('1)-acetylspermidine,CK10,N2,0.6597,0.9697,0.86
diacetylspermidine*,CK10,N2,0.1785,0.8598,0.33
spermine,CK10,N2,0.4045,0.9340,3.01
N(1)-acetylspermine,CK10,N2,0.4972,0.9340,1.37
"N1,N12-diacetylspermine",CK10,N2,0.5728,0.9540,0.68
S-adenosylmethioninamine,CK10,N2,0.9409,0.9936,0.96
5-methylthioadenosine (MTA),CK10,N2,0.1107,0.7521,0.41
4-acetamidobutanoate,CK10,N2,0.5512,0.9523,0.73
4-guanidinobutanoate,CK10,N2,0.9881,1.0000,1.00
"glutathione, reduced (GSH)",CK10,N2,0.8366,0.9927,1.07
"glutathione, oxidized (GSSG)",CK10,N2,0.5069,0.9340,1.87
cysteine-glutathione disulfide,CK10,N2,0.7095,0.9752,0.62
cysteinylglycine,CK10,N2,0.6348,0.9603,0.77
cysteinylglycine disulfide*,CK10,N2,0.2982,0.8938,0.15
5-oxoproline,CK10,N2,0.1963,0.8598,1.72
2-hydroxybutyrate/2-hydroxyisobutyrate,CK10,N2,0.8554,0.9927,1.47
ophthalmate,CK10,N2,0.7339,0.9803,1.31
"S-(1,2-dicarboxyethyl)glutathione",CK10,N2,0.0227,0.4629,2.61
CoA-glutathione*,CK10,N2,0.2049,0.8598,2.39
gamma-glutamylalanine,CK10,N2,0.3857,0.9340,0.50
gamma-glutamylcysteine,CK10,N2,0.8626,0.9927,0.82
gamma-glutamylglutamate,CK10,N2,0.5170,0.9340,0.59
gamma-glutamylglutamine,CK10,N2,0.9199,0.9927,1.12
gamma-glutamylglycine,CK10,N2,0.8966,0.9927,0.80
gamma-glutamylhistidine,CK10,N2,0.6762,0.9697,0.52
gamma-glutamylisoleucine*,CK10,N2,0.7735,0.9872,0.45
gamma-glutamylleucine,CK10,N2,0.6063,0.9569,0.48
gamma-glutamyl-alpha-lysine,CK10,N2,0.9236,0.9927,1.16
gamma-glutamylmethionine,CK10,N2,0.7219,0.9803,0.19
gamma-glutamylphenylalanine,CK10,N2,0.9610,0.9977,0.91
gamma-glutamylthreonine,CK10,N2,0.4873,0.9340,1.28
gamma-glutamyltyrosine,CK10,N2,0.6690,0.9697,1.23
gamma-glutamylvaline,CK10,N2,0.9123,0.9927,1.25
gamma-glutamylserine,CK10,N2,0.6065,0.9569,1.22
gamma-glutamylcitrulline*,CK10,N2,0.2635,0.8812,0.07
leucylhydroxyproline*,CK10,N2,0.4875,0.9340,0.19
alanylleucine,CK10,N2,0.4865,0.9340,0.53
cyclo(gly-pro),CK10,N2,0.0083,0.3976,0.36
glycylisoleucine,CK10,N2,0.3680,0.9340,0.46
glycylleucine,CK10,N2,0.4167,0.9340,0.51
glycylvaline,CK10,N2,0.5095,0.9340,0.61
histidylalanine,CK10,N2,0.4039,0.9340,0.61
isoleucylglycine,CK10,N2,0.5196,0.9340,0.83
leucylalanine,CK10,N2,0.0993,0.7508,0.27
leucylglycine,CK10,N2,0.4214,0.9340,0.60
lysylleucine,CK10,N2,0.9190,0.9927,1.22
phenylalanylalanine,CK10,N2,0.4646,0.9340,0.66
phenylalanylglycine,CK10,N2,0.4705,0.9340,0.67
phenylalanylhydroxyproline*,CK10,N2,0.1927,0.8598,0.32
prolylglycine,CK10,N2,0.5205,0.9340,0.78
threonylphenylalanine,CK10,N2,0.5586,0.9540,0.74
tyrosylglycine,CK10,N2,0.5027,0.9340,0.76
valylglutamine,CK10,N2,0.5604,0.9540,0.74
valylglycine,CK10,N2,0.6957,0.9697,1.07
valylleucine,CK10,N2,0.5468,0.9478,0.67
leucylglutamine*,CK10,N2,0.5139,0.9340,0.64
alanyl-glutamyl-meso-diaminopimelate,CK10,N2,0.6388,0.9624,0.37
phenylacetylcarnitine,CK10,N2,0.9764,1.0000,0.91
phenylacetylglutamine,CK10,N2,0.7029,0.9697,0.84
"N,N-dimethyl-pro-pro",CK10,N2,0.0790,0.7217,0.74
"1,5-anhydroglucitol (1,5-AG)",CK10,N2,0.7606,0.9872,1.09
glucose,CK10,N2,0.5693,0.9540,1.52
glucose 6-phosphate,CK10,N2,0.0596,0.6868,12.62
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",CK10,N2,0.7842,0.9881,1.02
dihydroxyacetone phosphate (DHAP),CK10,N2,0.8638,0.9927,1.06
2-phosphoglycerate,CK10,N2,0.9265,0.9927,2.76
3-phosphoglycerate,CK10,N2,0.6766,0.9697,0.79
phosphoenolpyruvate (PEP),CK10,N2,0.8055,0.9881,0.88
pyruvate,CK10,N2,0.1186,0.7643,0.13
lactate,CK10,N2,0.0094,0.3976,0.47
glycerate,CK10,N2,0.7144,0.9791,0.57
6-phosphogluconate,CK10,N2,0.4108,0.9340,1.58
ribose 1-phosphate,CK10,N2,0.8449,0.9927,1.82
sedoheptulose-7-phosphate,CK10,N2,0.7843,0.9881,0.93
ribose,CK10,N2,0.7623,0.9872,0.46
ribitol,CK10,N2,0.0358,0.5902,0.38
ribonate,CK10,N2,0.3470,0.9340,0.27
arabitol/xylitol,CK10,N2,0.0198,0.4629,0.48
arabonate/xylonate,CK10,N2,0.0914,0.7472,0.18
sedoheptulose,CK10,N2,0.8228,0.9927,0.48
lyxonate,CK10,N2,0.8843,0.9927,1.05
maltotetraose,CK10,N2,0.5158,0.9340,2.17
maltotriose,CK10,N2,0.2222,0.8598,2.79
maltose,CK10,N2,0.9270,0.9927,0.91
lactobionate,CK10,N2,0.6023,0.9569,0.26
trehalose,CK10,N2,0.6031,0.9569,2.43
trehalose 6-phosphate,CK10,N2,0.0255,0.4765,97.07
mannitol/sorbitol,CK10,N2,0.3318,0.9155,0.69
mannose,CK10,N2,0.4470,0.9340,1.47
galactitol (dulcitol),CK10,N2,0.8325,0.9927,0.88
UDP-glucose,CK10,N2,0.5078,0.9340,0.70
UDP-galactose,CK10,N2,0.7285,0.9803,1.61
UDP-glucuronate,CK10,N2,0.1141,0.7521,65.92
UDP-N-acetylglucosamine/galactosamine,CK10,N2,0.8059,0.9881,2.02
deoxythymidine diphosphate-rhamnose,CK10,N2,0.4792,0.9340,0.53
glucosamine-6-phosphate,CK10,N2,0.2116,0.8598,4.60
glucuronate,CK10,N2,0.0805,0.7264,1.73
diacetylchitobiose,CK10,N2,0.7494,0.9859,1.34
N-acetylglucosamine 6-phosphate,CK10,N2,0.2298,0.8598,4.22
N-acetyl-glucosamine 1-phosphate,CK10,N2,0.2039,0.8598,3.43
N-acetylmuramate,CK10,N2,0.4307,0.9340,0.27
N-acetylglucosaminylasparagine,CK10,N2,0.3989,0.9340,1.28
erythronate*,CK10,N2,0.0217,0.4629,0.47
N-acetylglucosamine/N-acetylgalactosamine,CK10,N2,0.3484,0.9340,1.30
N6-carboxymethyllysine,CK10,N2,0.4974,0.9340,0.75
citrate,CK10,N2,0.8341,0.9927,0.67
aconitate [cis or trans],CK10,N2,0.8530,0.9927,0.55
isocitrate,CK10,N2,0.3782,0.9340,1.97
alpha-ketoglutarate,CK10,N2,0.7414,0.9838,0.62
succinylcarnitine (C4-DC),CK10,N2,0.6277,0.9576,0.86
succinate,CK10,N2,0.8092,0.9881,0.80
fumarate,CK10,N2,0.5833,0.9540,1.08
malate,CK10,N2,0.2296,0.8598,1.42
2-methylcitrate/homocitrate,CK10,N2,0.7015,0.9697,0.73
phosphate,CK10,N2,0.5750,0.9540,0.85
acetyl CoA,CK10,N2,0.0098,0.3976,0.16
butyrate/isobutyrate (4:0),CK10,N2,0.6876,0.9697,0.82
caprate (10:0),CK10,N2,0.9918,1.0000,1.02
cis-4-decenoate (10:1n6)*,CK10,N2,0.5688,0.9540,0.51
10-undecenoate (11:1n1),CK10,N2,0.3886,0.9340,0.60
laurate (12:0),CK10,N2,0.3794,0.9340,1.49
5-dodecenoate (12:1n7),CK10,N2,0.7708,0.9872,0.82
myristate (14:0),CK10,N2,0.0629,0.6868,2.27
stearate (18:0),CK10,N2,0.0823,0.7336,2.38
nonadecanoate (19:0),CK10,N2,0.0719,0.7061,3.92
arachidate (20:0),CK10,N2,0.0530,0.6807,3.56
behenate (22:0)*,CK10,N2,0.1522,0.8589,1.15
myristoleate (14:1n5),CK10,N2,0.3201,0.9140,1.58
palmitoleate (16:1n7),CK10,N2,0.1147,0.7521,2.25
oleate/vaccenate (18:1),CK10,N2,0.1142,0.7521,2.20
eicosenoate (20:1),CK10,N2,0.5723,0.9540,1.26
erucate (22:1n9),CK10,N2,0.8494,0.9927,1.06
tetradecadienoate (14:2)*,CK10,N2,0.8349,0.9927,0.76
hexadecatrienoate (16:3n3),CK10,N2,0.2607,0.8812,2.34
heptadecatrienoate (17:3)*,CK10,N2,0.0631,0.6868,3.46
stearidonate (18:4n3),CK10,N2,0.0154,0.4394,3.30
eicosapentaenoate (EPA; 20:5n3),CK10,N2,0.0391,0.5902,3.01
docosapentaenoate (n3 DPA; 22:5n3),CK10,N2,0.3507,0.9340,1.83
docosatrienoate (22:3n3),CK10,N2,0.3037,0.8938,1.90
hexadecadienoate (16:2n6),CK10,N2,0.0978,0.7508,2.40
linoleate (18:2n6),CK10,N2,0.2207,0.8598,1.96
linolenate [alpha or gamma; (18:3n3 or 6)],CK10,N2,0.0274,0.5012,3.75
dihomo-linoleate (20:2n6),CK10,N2,0.9358,0.9928,1.02
dihomo-linolenate (20:3n3 or n6),CK10,N2,0.0133,0.4394,3.37
arachidonate (20:4n6),CK10,N2,0.0229,0.4629,1.71
docosadienoate (22:2n6),CK10,N2,0.5381,0.9386,0.65
(12 or 13)-methylmyristate (a15:0 or i15:0),CK10,N2,0.1750,0.8598,1.76
(14 or 15)-methylpalmitate (a17:0 or i17:0),CK10,N2,0.4827,0.9340,1.25
(16 or 17)-methylstearate (a19:0 or i19:0),CK10,N2,0.2769,0.8812,2.02
glutarate (C5-DC),CK10,N2,0.9483,0.9936,1.44
2-hydroxyglutarate,CK10,N2,0.7941,0.9881,0.94
3-hydroxyadipate,CK10,N2,0.3023,0.8938,1.53
maleate,CK10,N2,0.4950,0.9340,1.17
suberate (C8-DC),CK10,N2,0.4851,0.9340,0.36
azelate (C9-DC),CK10,N2,0.1065,0.7521,0.59
sebacate (C10-DC),CK10,N2,0.5827,0.9540,0.79
dodecanedioate (C12-DC),CK10,N2,0.0865,0.7472,0.55
dodecadienoate (12:2)*,CK10,N2,0.9444,0.9936,0.73
tetradecanedioate (C14-DC),CK10,N2,0.7972,0.9881,0.95
hexadecanedioate (C16-DC),CK10,N2,0.8803,0.9927,1.06
hexadecenedioate (C16:1-DC)*,CK10,N2,0.1352,0.8178,0.43
octadecanedioate (C18-DC),CK10,N2,0.3077,0.8938,1.53
octadecenedioate (C18:1-DC),CK10,N2,0.0913,0.7472,0.49
octadecadienedioate (C18:2-DC)*,CK10,N2,0.0312,0.5524,0.29
nonadecanedioate (C19-DC),CK10,N2,0.8927,0.9927,0.92
propionylcarnitine (C3),CK10,N2,0.6572,0.9697,0.79
methylmalonate (MMA),CK10,N2,0.9043,0.9927,0.72
acetylcarnitine (C2),CK10,N2,0.0140,0.4394,0.35
octanoylcarnitine (C8),CK10,N2,0.2242,0.8598,0.53
"cis-3,4-methyleneheptanoylcarnitine",CK10,N2,0.2628,0.8812,0.57
pentadecanoylcarnitine (C15)*,CK10,N2,0.0942,0.7508,0.38
palmitoylcarnitine (C16),CK10,N2,0.6484,0.9697,0.77
margaroylcarnitine (C17)*,CK10,N2,0.2102,0.8598,0.52
stearoylcarnitine (C18),CK10,N2,0.4020,0.9340,1.70
arachidoylcarnitine (C20)*,CK10,N2,0.2337,0.8692,1.64
behenoylcarnitine (C22)*,CK10,N2,0.7774,0.9881,0.96
lignoceroylcarnitine (C24)*,CK10,N2,0.6318,0.9576,0.83
cerotoylcarnitine (C26)*,CK10,N2,0.8540,0.9927,1.14
3-decenoylcarnitine,CK10,N2,0.2726,0.8812,0.50
cis-4-decenoylcarnitine (C10:1),CK10,N2,0.2295,0.8598,0.49
undecenoylcarnitine (C11:1),CK10,N2,0.0227,0.4629,0.39
5-dodecenoylcarnitine (C12:1),CK10,N2,0.2597,0.8812,0.44
myristoleoylcarnitine (C14:1)*,CK10,N2,0.2803,0.8812,0.56
palmitoleoylcarnitine (C16:1)*,CK10,N2,0.2869,0.8872,0.48
oleoylcarnitine (C18:1),CK10,N2,0.2149,0.8598,0.34
eicosenoylcarnitine (C20:1)*,CK10,N2,0.2291,0.8598,0.50
linoleoylcarnitine (C18:2)*,CK10,N2,0.0554,0.6807,0.20
dihomo-linoleoylcarnitine (C20:2)*,CK10,N2,0.0664,0.6868,0.19
arachidonoylcarnitine (C20:4),CK10,N2,0.3331,0.9155,0.38
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,CK10,N2,0.1949,0.8598,0.36
(R)-3-hydroxybutyrylcarnitine,CK10,N2,0.8298,0.9927,1.07
(S)-3-hydroxybutyrylcarnitine,CK10,N2,0.8936,0.9927,0.94
3-hydroxyoctanoylcarnitine (1),CK10,N2,0.4939,0.9340,0.65
3-hydroxydecanoylcarnitine,CK10,N2,0.2537,0.8812,0.56
3-hydroxyoleoylcarnitine,CK10,N2,0.2866,0.8872,0.55
deoxycarnitine,CK10,N2,0.3088,0.8938,0.77
carnitine,CK10,N2,0.7470,0.9859,0.93
3-hydroxybutyrate (BHBA),CK10,N2,0.9322,0.9927,0.73
acetylcholine,CK10,N2,0.0090,0.3976,0.35
myristoylcholine*,CK10,N2,0.8170,0.9899,1.13
palmitoylcholine,CK10,N2,0.1008,0.7508,0.49
oleoylcholine,CK10,N2,0.2205,0.8598,0.51
linoleoylcholine*,CK10,N2,0.0689,0.6868,0.35
stearoylcholine*,CK10,N2,0.9614,0.9977,0.98
arachidonoylcholine,CK10,N2,0.9202,0.9927,1.06
eicosapentaenoylcholine,CK10,N2,0.4557,0.9340,0.68
4-hydroxybutyrate (GHB),CK10,N2,0.8885,0.9927,1.21
2-hydroxystearate,CK10,N2,0.0677,0.6868,2.87
2-hydroxybehenate,CK10,N2,0.0790,0.7217,2.88
2-hydroxylignocerate*,CK10,N2,0.2572,0.8812,0.69
3-hydroxyvalerate,CK10,N2,0.4130,0.9340,0.68
3-hydroxyhexanoate,CK10,N2,0.5384,0.9386,0.63
3-hydroxyoctanoate,CK10,N2,0.7802,0.9881,0.77
3-hydroxylaurate,CK10,N2,0.9902,1.0000,1.04
3-hydroxymyristate,CK10,N2,0.3054,0.8938,0.67
3-hydroxystearate,CK10,N2,0.8034,0.9881,0.86
5-hydroxyhexanoate,CK10,N2,0.4533,0.9340,0.79
8-hydroxyoctanoate,CK10,N2,0.1652,0.8598,0.56
"12,13-DiHOME",CK10,N2,0.3264,0.9155,0.55
"9,10-DiHOME",CK10,N2,0.7990,0.9881,0.73
"2S,3R-dihydroxybutyrate",CK10,N2,0.5881,0.9540,0.32
"2R,3R-dihydroxybutyrate",CK10,N2,0.3295,0.9155,0.69
"17,18-DiHETE",CK10,N2,0.9280,0.9927,1.08
5-HEPE,CK10,N2,0.5929,0.9553,0.67
oleoyl ethanolamide,CK10,N2,0.0187,0.4629,0.23
myristoyl ethanolamide,CK10,N2,0.2975,0.8938,1.85
palmitoyl ethanolamide,CK10,N2,0.3993,0.9340,1.39
stearoyl ethanolamide,CK10,N2,0.8798,0.9927,1.07
eicosapentaenoyl ethanolamide,CK10,N2,0.1301,0.8050,0.39
arachidonoyl ethanolamide,CK10,N2,0.3842,0.9340,0.52
linoleoyl ethanolamide,CK10,N2,0.9014,0.9927,1.18
linolenoyl ethanolamide,CK10,N2,0.3657,0.9340,0.62
palmitoleoyl ethanolamide*,CK10,N2,0.1173,0.7623,0.45
margaroyl ethanolamide*,CK10,N2,0.4963,0.9340,0.70
myo-inositol,CK10,N2,0.7328,0.9803,0.83
chiro-inositol,CK10,N2,0.2147,0.8598,0.36
choline,CK10,N2,0.2033,0.8598,0.75
choline phosphate,CK10,N2,0.8947,0.9927,0.91
cytidine 5'-diphosphocholine,CK10,N2,0.0551,0.6807,2.20
glycerophosphorylcholine (GPC),CK10,N2,0.2462,0.8812,1.39
phosphoethanolamine,CK10,N2,0.2662,0.8812,0.64
cytidine-5'-diphosphoethanolamine,CK10,N2,0.0245,0.4690,4.51
glycerophosphoethanolamine,CK10,N2,0.2522,0.8812,1.94
glycerophosphoserine*,CK10,N2,0.9627,0.9977,0.72
glycerophosphoinositol*,CK10,N2,0.9190,0.9927,0.87
trimethylamine N-oxide,CK10,N2,0.4390,0.9340,0.13
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),CK10,N2,0.0099,0.3976,2.92
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),CK10,N2,0.4191,0.9340,1.43
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,CK10,N2,0.1534,0.8589,0.64
"1,2-distearoyl-GPC (18:0/18:0)",CK10,N2,0.0008,0.1062,5.36
1-stearoyl-2-oleoyl-GPC (18:0/18:1),CK10,N2,0.3291,0.9155,1.37
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,CK10,N2,0.8911,0.9927,1.05
