metabolites,numerator,denominator,p-value,q-value,FC
arabonate/xylonate,CK10,N2,0.1733,1.0000,0.31
sedoheptulose,CK10,N2,0.8294,1.0000,0.93
lyxonate,CK10,N2,0.9857,1.0000,1.05
maltotetraose,CK10,N2,0.7387,1.0000,1.30
maltotriose,CK10,N2,0.4702,1.0000,0.95
maltose,CK10,N2,0.1856,1.0000,1.34
lactobionate,CK10,N2,0.9218,1.0000,1.71
trehalose,CK10,N2,0.9899,1.0000,1.76
trehalose 6-phosphate,CK10,N2,0.5568,1.0000,1.91
mannitol/sorbitol,CK10,N2,0.7916,1.0000,0.89
mannose,CK10,N2,0.6314,1.0000,1.12
galactitol (dulcitol),CK10,N2,0.8601,1.0000,1.07
UDP-glucose,CK10,N2,0.7404,1.0000,0.73
UDP-galactose,CK10,N2,0.6992,1.0000,0.89
UDP-glucuronate,CK10,N2,0.6589,1.0000,1.47
UDP-N-acetylglucosamine/galactosamine,CK10,N2,0.2649,1.0000,0.52
deoxythymidine diphosphate-rhamnose,CK10,N2,0.6389,1.0000,0.69
glucosamine-6-phosphate,CK10,N2,0.2211,1.0000,1.83
glucuronate,CK10,N2,0.3005,1.0000,1.53
diacetylchitobiose,CK10,N2,0.6623,1.0000,2.30
N-acetylglucosamine 6-phosphate,CK10,N2,0.4652,1.0000,1.40
N-acetyl-glucosamine 1-phosphate,CK10,N2,0.5193,1.0000,1.52
N-acetylmuramate,CK10,N2,0.7450,1.0000,1.45
N-acetylglucosaminylasparagine,CK10,N2,0.8278,1.0000,1.12
erythronate*,CK10,N2,0.9877,1.0000,0.96
N-acetylglucosamine/N-acetylgalactosamine,CK10,N2,0.5275,1.0000,1.21
N6-carboxymethyllysine,CK10,N2,0.4442,1.0000,0.74
citrate,CK10,N2,0.5191,1.0000,0.67
aconitate [cis or trans],CK10,N2,0.8205,1.0000,1.11
isocitrate,CK10,N2,0.1497,1.0000,0.38
alpha-ketoglutarate,CK10,N2,0.6774,1.0000,0.98
succinylcarnitine (C4-DC),CK10,N2,0.3626,1.0000,0.71
succinate,CK10,N2,0.5820,1.0000,1.36
fumarate,CK10,N2,0.9643,1.0000,0.91
malate,CK10,N2,0.2836,1.0000,0.72
2-methylcitrate/homocitrate,CK10,N2,0.3791,1.0000,0.73
phosphate,CK10,N2,0.5255,1.0000,0.74
acetyl CoA,CK10,N2,0.6443,1.0000,0.73
butyrate/isobutyrate (4:0),CK10,N2,0.9516,1.0000,1.05
caprate (10:0),CK10,N2,0.9394,1.0000,0.96
cis-4-decenoate (10:1n6)*,CK10,N2,0.6267,1.0000,1.07
10-undecenoate (11:1n1),CK10,N2,0.8455,1.0000,0.75
laurate (12:0),CK10,N2,0.9983,1.0000,1.01
5-dodecenoate (12:1n7),CK10,N2,0.7426,1.0000,1.09
myristate (14:0),CK10,N2,0.8355,1.0000,1.04
stearate (18:0),CK10,N2,0.4929,1.0000,1.38
nonadecanoate (19:0),CK10,N2,0.4530,1.0000,1.61
arachidate (20:0),CK10,N2,0.4122,1.0000,1.67
behenate (22:0)*,CK10,N2,0.6536,1.0000,0.66
myristoleate (14:1n5),CK10,N2,0.4027,1.0000,1.37
palmitoleate (16:1n7),CK10,N2,0.4587,1.0000,1.22
oleate/vaccenate (18:1),CK10,N2,0.9768,1.0000,0.93
eicosenoate (20:1),CK10,N2,0.7253,1.0000,0.63
erucate (22:1n9),CK10,N2,0.6473,1.0000,0.60
tetradecadienoate (14:2)*,CK10,N2,0.8116,1.0000,0.79
hexadecatrienoate (16:3n3),CK10,N2,0.2394,1.0000,2.85
heptadecatrienoate (17:3)*,CK10,N2,0.5032,1.0000,1.23
stearidonate (18:4n3),CK10,N2,0.0861,1.0000,1.98
eicosapentaenoate (EPA; 20:5n3),CK10,N2,0.5161,1.0000,1.33
docosapentaenoate (n3 DPA; 22:5n3),CK10,N2,0.8690,1.0000,0.89
docosatrienoate (22:3n3),CK10,N2,0.9055,1.0000,0.79
hexadecadienoate (16:2n6),CK10,N2,0.4006,1.0000,1.38
linoleate (18:2n6),CK10,N2,0.7095,1.0000,0.73
linolenate [alpha or gamma; (18:3n3 or 6)],CK10,N2,0.4184,1.0000,1.29
dihomo-linoleate (20:2n6),CK10,N2,0.1237,1.0000,0.40
dihomo-linolenate (20:3n3 or n6),CK10,N2,0.4159,1.0000,1.40
arachidonate (20:4n6),CK10,N2,0.0633,1.0000,1.63
docosadienoate (22:2n6),CK10,N2,0.3909,1.0000,0.70
(12 or 13)-methylmyristate (a15:0 or i15:0),CK10,N2,0.6282,1.0000,1.07
(14 or 15)-methylpalmitate (a17:0 or i17:0),CK10,N2,0.9429,1.0000,0.75
(16 or 17)-methylstearate (a19:0 or i19:0),CK10,N2,0.3375,1.0000,2.00
glutarate (C5-DC),CK10,N2,0.6621,1.0000,1.55
2-hydroxyglutarate,CK10,N2,0.8260,1.0000,1.01
3-hydroxyadipate,CK10,N2,0.1731,1.0000,1.78
maleate,CK10,N2,0.9614,1.0000,1.63
suberate (C8-DC),CK10,N2,0.8741,1.0000,1.21
azelate (C9-DC),CK10,N2,0.1048,1.0000,0.60
sebacate (C10-DC),CK10,N2,0.9776,1.0000,1.10
dodecanedioate (C12-DC),CK10,N2,0.3676,1.0000,0.71
dodecadienoate (12:2)*,CK10,N2,0.9613,1.0000,0.93
tetradecanedioate (C14-DC),CK10,N2,0.7109,1.0000,0.95
hexadecanedioate (C16-DC),CK10,N2,0.9699,1.0000,1.02
hexadecenedioate (C16:1-DC)*,CK10,N2,0.2240,1.0000,0.65
octadecanedioate (C18-DC),CK10,N2,0.6691,1.0000,1.25
octadecenedioate (C18:1-DC),CK10,N2,0.0578,1.0000,0.46
octadecadienedioate (C18:2-DC)*,CK10,N2,0.0725,1.0000,0.43
nonadecanedioate (C19-DC),CK10,N2,0.9749,1.0000,0.95
propionylcarnitine (C3),CK10,N2,0.3611,1.0000,0.76
methylmalonate (MMA),CK10,N2,0.9346,1.0000,0.39
acetylcarnitine (C2),CK10,N2,0.0589,1.0000,0.44
octanoylcarnitine (C8),CK10,N2,0.9746,1.0000,0.78
"cis-3,4-methyleneheptanoylcarnitine",CK10,N2,0.4796,1.0000,0.73
pentadecanoylcarnitine (C15)*,CK10,N2,0.5471,1.0000,0.68
palmitoylcarnitine (C16),CK10,N2,0.6367,1.0000,0.92
margaroylcarnitine (C17)*,CK10,N2,0.2668,1.0000,0.64
stearoylcarnitine (C18),CK10,N2,0.7925,1.0000,1.56
arachidoylcarnitine (C20)*,CK10,N2,0.5103,1.0000,1.53
behenoylcarnitine (C22)*,CK10,N2,0.7698,1.0000,1.13
lignoceroylcarnitine (C24)*,CK10,N2,0.6948,1.0000,0.84
cerotoylcarnitine (C26)*,CK10,N2,0.2169,1.0000,0.54
3-decenoylcarnitine,CK10,N2,0.7654,1.0000,0.86
cis-4-decenoylcarnitine (C10:1),CK10,N2,0.6970,1.0000,0.81
undecenoylcarnitine (C11:1),CK10,N2,0.0445,1.0000,0.46
5-dodecenoylcarnitine (C12:1),CK10,N2,0.3669,1.0000,0.50
myristoleoylcarnitine (C14:1)*,CK10,N2,0.1438,1.0000,0.45
palmitoleoylcarnitine (C16:1)*,CK10,N2,0.1674,1.0000,0.48
oleoylcarnitine (C18:1),CK10,N2,0.1964,1.0000,0.47
eicosenoylcarnitine (C20:1)*,CK10,N2,0.1808,1.0000,0.59
linoleoylcarnitine (C18:2)*,CK10,N2,0.2082,1.0000,0.37
dihomo-linoleoylcarnitine (C20:2)*,CK10,N2,0.0359,1.0000,0.24
arachidonoylcarnitine (C20:4),CK10,N2,0.6546,1.0000,0.64
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,CK10,N2,0.3937,1.0000,0.51
(R)-3-hydroxybutyrylcarnitine,CK10,N2,0.7187,1.0000,0.88
(S)-3-hydroxybutyrylcarnitine,CK10,N2,0.9259,1.0000,1.10
3-hydroxyoctanoylcarnitine (1),CK10,N2,0.4362,1.0000,0.63
3-hydroxydecanoylcarnitine,CK10,N2,0.2203,1.0000,0.57
3-hydroxyoleoylcarnitine,CK10,N2,0.1153,1.0000,0.49
deoxycarnitine,CK10,N2,0.9245,1.0000,1.00
carnitine,CK10,N2,0.7410,1.0000,0.91
3-hydroxybutyrate (BHBA),CK10,N2,0.8118,1.0000,1.57
acetylcholine,CK10,N2,0.3601,1.0000,0.75
myristoylcholine*,CK10,N2,0.5998,1.0000,0.50
palmitoylcholine,CK10,N2,0.0809,1.0000,0.48
oleoylcholine,CK10,N2,0.4613,1.0000,0.62
linoleoylcholine*,CK10,N2,0.1291,1.0000,0.38
stearoylcholine*,CK10,N2,0.9833,1.0000,0.96
arachidonoylcholine,CK10,N2,0.5514,1.0000,1.28
eicosapentaenoylcholine,CK10,N2,0.8356,1.0000,0.89
4-hydroxybutyrate (GHB),CK10,N2,0.6844,1.0000,0.82
2-hydroxystearate,CK10,N2,0.8746,1.0000,1.06
2-hydroxybehenate,CK10,N2,0.3410,1.0000,2.50
2-hydroxylignocerate*,CK10,N2,0.5087,1.0000,0.88
3-hydroxyvalerate,CK10,N2,0.7964,1.0000,1.81
3-hydroxyhexanoate,CK10,N2,0.6385,1.0000,0.75
3-hydroxyoctanoate,CK10,N2,0.6684,1.0000,0.85
3-hydroxylaurate,CK10,N2,0.5125,1.0000,0.72
3-hydroxymyristate,CK10,N2,0.8914,1.0000,0.93
3-hydroxystearate,CK10,N2,0.6765,1.0000,1.34
5-hydroxyhexanoate,CK10,N2,0.8477,1.0000,1.15
8-hydroxyoctanoate,CK10,N2,0.2800,1.0000,0.62
"12,13-DiHOME",CK10,N2,0.4852,1.0000,0.63
"9,10-DiHOME",CK10,N2,0.1973,1.0000,0.39
"2S,3R-dihydroxybutyrate",CK10,N2,0.5261,1.0000,1.04
"2R,3R-dihydroxybutyrate",CK10,N2,0.4743,1.0000,0.79
"17,18-DiHETE",CK10,N2,0.8274,1.0000,0.90
5-HEPE,CK10,N2,0.7113,1.0000,1.33
oleoyl ethanolamide,CK10,N2,0.4284,1.0000,0.64
myristoyl ethanolamide,CK10,N2,0.1981,1.0000,2.31
palmitoyl ethanolamide,CK10,N2,0.5311,1.0000,1.30
stearoyl ethanolamide,CK10,N2,0.4384,1.0000,1.35
eicosapentaenoyl ethanolamide,CK10,N2,0.6859,1.0000,0.82
arachidonoyl ethanolamide,CK10,N2,0.2456,1.0000,1.30
linoleoyl ethanolamide,CK10,N2,0.9084,1.0000,1.42
linolenoyl ethanolamide,CK10,N2,0.0652,1.0000,2.24
palmitoleoyl ethanolamide*,CK10,N2,0.1561,1.0000,1.95
margaroyl ethanolamide*,CK10,N2,0.5859,1.0000,1.38
myo-inositol,CK10,N2,0.2078,1.0000,2.28
chiro-inositol,CK10,N2,0.7270,1.0000,0.91
choline,CK10,N2,0.3906,1.0000,0.80
choline phosphate,CK10,N2,0.9206,1.0000,1.38
cytidine 5'-diphosphocholine,CK10,N2,0.8723,1.0000,0.66
glycerophosphorylcholine (GPC),CK10,N2,0.5095,1.0000,1.42
phosphoethanolamine,CK10,N2,0.4571,1.0000,0.75
cytidine-5'-diphosphoethanolamine,CK10,N2,0.7734,1.0000,0.83
glycerophosphoethanolamine,CK10,N2,0.3832,1.0000,1.77
glycerophosphoserine*,CK10,N2,0.8288,1.0000,1.07
glycerophosphoinositol*,CK10,N2,0.2732,1.0000,1.55
trimethylamine N-oxide,CK10,N2,0.6581,1.0000,1.14
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),CK10,N2,0.1431,1.0000,1.79
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),CK10,N2,0.7295,1.0000,0.87
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,CK10,N2,0.4254,1.0000,0.74
"1,2-distearoyl-GPC (18:0/18:0)",CK10,N2,0.0290,1.0000,3.12
1-stearoyl-2-oleoyl-GPC (18:0/18:1),CK10,N2,0.8850,1.0000,0.96
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,CK10,N2,0.1481,1.0000,0.73
