metabolites,numerator,denominator,p-value,q-value,FC
indoleacetate,CK10,N2,0.8221,0.9045,1.74
tryptophol,CK10,N2,0.0817,0.5792,7.48
indole-3-carboxylate,CK10,N2,0.6709,0.9036,0.68
leucine,CK10,N2,0.8395,0.9097,0.73
N-acetylleucine,CK10,N2,0.7059,0.9036,0.56
4-methyl-2-oxopentanoate,CK10,N2,0.1702,0.7106,2.26
alpha-hydroxyisocaproate,CK10,N2,0.5145,0.8660,1.68
isovaleryl/2-methylbutyryl CoA,CK10,N2,0.9898,0.9311,0.34
isovalerate (i5:0),CK10,N2,0.0922,0.6100,2.79
isovalerylglycine,CK10,N2,0.3484,0.8372,0.70
isovalerylcarnitine (C5),CK10,N2,0.6711,0.9036,1.39
beta-hydroxyisovalerate,CK10,N2,0.4179,0.8633,0.30
beta-hydroxyisovaleroylcarnitine,CK10,N2,0.7551,0.9036,0.90
beta-hydroxyisovalerylglycine,CK10,N2,0.7967,0.9045,0.84
3-methylglutaconate,CK10,N2,0.8131,0.9045,0.73
isoleucine,CK10,N2,0.8782,0.9160,0.67
N-acetylisoleucine,CK10,N2,0.4617,0.8633,0.50
3-methyl-2-oxovalerate,CK10,N2,0.2547,0.7760,1.94
2-hydroxy-3-methylvalerate,CK10,N2,0.8085,0.9045,1.04
2-methylbutyrylcarnitine (C5),CK10,N2,0.6277,0.9004,1.67
tiglylcarnitine (C5:1-DC),CK10,N2,0.3280,0.8316,1.63
ethylmalonate,CK10,N2,0.3092,0.8178,2.00
methylsuccinate,CK10,N2,0.3471,0.8372,0.25
valine,CK10,N2,0.7875,0.9036,0.72
N-acetylvaline,CK10,N2,0.8268,0.9045,0.41
3-methyl-2-oxobutyrate,CK10,N2,0.2501,0.7760,2.14
alpha-hydroxyisovalerate,CK10,N2,0.9815,0.9311,0.79
isobutyrylcarnitine (C4),CK10,N2,0.4997,0.8633,0.96
3-hydroxyisobutyrate,CK10,N2,0.7410,0.9036,0.66
methionine,CK10,N2,0.4940,0.8633,0.88
N-acetylmethionine,CK10,N2,0.1524,0.6801,1.86
N-formylmethionine,CK10,N2,0.6137,0.8996,0.54
methionine sulfone,CK10,N2,0.0175,0.4155,4.34
methionine sulfoxide,CK10,N2,0.7730,0.9036,1.19
N-acetylmethionine sulfoxide,CK10,N2,0.0489,0.5375,2.38
S-adenosylmethionine (SAM),CK10,N2,0.3859,0.8532,0.35
S-adenosylhomocysteine (SAH),CK10,N2,0.7391,0.9036,0.40
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",CK10,N2,0.4596,0.8633,1.26
2-hydroxy-4-(methylthio)butanoic acid,CK10,N2,0.7947,0.9037,1.06
cystathionine,CK10,N2,0.7856,0.9036,0.97
cysteine,CK10,N2,0.3754,0.8498,1.83
N-acetylcysteine,CK10,N2,0.9989,0.9311,1.14
S-methylcysteine,CK10,N2,0.3682,0.8498,1.81
S-methylcysteine sulfoxide,CK10,N2,0.9313,0.9266,0.88
cysteine s-sulfate,CK10,N2,0.7830,0.9036,1.05
cystine,CK10,N2,0.7885,0.9036,1.70
lanthionine,CK10,N2,0.2151,0.7718,0.66
hypotaurine,CK10,N2,0.8375,0.9096,1.06
taurine,CK10,N2,0.9072,0.9243,0.58
N-acetyltaurine,CK10,N2,0.7929,0.9036,0.72
3-sulfo-alanine,CK10,N2,0.8065,0.9045,0.24
cyano-alanine,CK10,N2,0.3808,0.8498,1.01
arginine,CK10,N2,0.2897,0.7903,0.67
argininosuccinate,CK10,N2,0.2204,0.7718,0.61
urea,CK10,N2,0.8559,0.9150,0.87
ornithine,CK10,N2,0.5022,0.8633,0.96
3-amino-2-piperidone,CK10,N2,0.3727,0.8498,0.27
2-oxoarginine*,CK10,N2,0.5077,0.8633,1.41
citrulline,CK10,N2,0.9852,0.9311,0.20
homoarginine,CK10,N2,0.8295,0.9045,0.47
homocitrulline,CK10,N2,0.9371,0.9292,0.11
proline,CK10,N2,0.7564,0.9036,0.94
dimethylarginine (SDMA + ADMA),CK10,N2,0.6770,0.9036,1.03
N-acetylarginine,CK10,N2,0.2223,0.7718,0.59
N-delta-acetylornithine,CK10,N2,0.6046,0.8934,0.57
trans-4-hydroxyproline,CK10,N2,0.8735,0.9160,0.30
pro-hydroxy-pro,CK10,N2,0.9465,0.9292,0.37
N-methylproline,CK10,N2,0.7059,0.9036,0.75
N-monomethylarginine,CK10,N2,0.6037,0.8934,0.87
argininate*,CK10,N2,0.9472,0.9292,0.90
creatine,CK10,N2,0.3626,0.8498,0.94
agmatine,CK10,N2,0.3003,0.8061,2.49
acetylagmatine,CK10,N2,0.2372,0.7760,17.50
putrescine,CK10,N2,0.4958,0.8633,1.74
N-acetylputrescine,CK10,N2,0.0223,0.4312,10.14
N-carbamoylputrescine,CK10,N2,0.3517,0.8372,1.92
isoputreanine,CK10,N2,0.8381,0.9096,0.08
N-acetyl-isoputreanine,CK10,N2,0.2463,0.7760,0.04
spermidine,CK10,N2,0.9079,0.9243,1.11
N('1)-acetylspermidine,CK10,N2,0.4384,0.8633,2.15
diacetylspermidine*,CK10,N2,0.2330,0.7718,2.17
spermine,CK10,N2,0.5616,0.8852,1.71
N(1)-acetylspermine,CK10,N2,0.8766,0.9160,0.68
"N1,N12-diacetylspermine",CK10,N2,0.5865,0.8912,6.29
S-adenosylmethioninamine,CK10,N2,0.0197,0.4312,0.04
5-methylthioadenosine (MTA),CK10,N2,0.0318,0.4985,0.16
4-acetamidobutanoate,CK10,N2,0.4595,0.8633,0.43
4-guanidinobutanoate,CK10,N2,0.6113,0.8982,1.65
"glutathione, reduced (GSH)",CK10,N2,0.3634,0.8498,2.23
"glutathione, oxidized (GSSG)",CK10,N2,0.6641,0.9036,0.84
cysteine-glutathione disulfide,CK10,N2,0.7388,0.9036,1.10
cysteinylglycine,CK10,N2,0.8521,0.9142,1.29
cysteinylglycine disulfide*,CK10,N2,0.8185,0.9045,2.60
5-oxoproline,CK10,N2,0.1752,0.7246,2.44
2-hydroxybutyrate/2-hydroxyisobutyrate,CK10,N2,0.9949,0.9311,0.59
ophthalmate,CK10,N2,0.6049,0.8934,1.52
"S-(1,2-dicarboxyethyl)glutathione",CK10,N2,0.6538,0.9036,0.70
CoA-glutathione*,CK10,N2,0.4849,0.8633,0.28
gamma-glutamylalanine,CK10,N2,0.4322,0.8633,0.13
gamma-glutamylcysteine,CK10,N2,0.1925,0.7399,3.28
gamma-glutamylglutamate,CK10,N2,0.5373,0.8771,0.43
gamma-glutamylglutamine,CK10,N2,0.8707,0.9160,0.28
gamma-glutamylglycine,CK10,N2,0.9292,0.9266,0.56
gamma-glutamylhistidine,CK10,N2,0.8608,0.9160,0.52
gamma-glutamylisoleucine*,CK10,N2,0.9640,0.9311,0.08
gamma-glutamylleucine,CK10,N2,0.8248,0.9045,0.14
gamma-glutamyl-alpha-lysine,CK10,N2,0.3701,0.8498,0.55
gamma-glutamylmethionine,CK10,N2,0.5380,0.8771,0.23
gamma-glutamylphenylalanine,CK10,N2,0.8060,0.9045,0.08
gamma-glutamylthreonine,CK10,N2,0.1247,0.6484,0.34
gamma-glutamyltyrosine,CK10,N2,0.0749,0.5792,3.03
gamma-glutamylvaline,CK10,N2,0.1362,0.6598,0.00
gamma-glutamylserine,CK10,N2,0.1072,0.6137,0.39
gamma-glutamylcitrulline*,CK10,N2,0.2526,0.7760,0.07
leucylhydroxyproline*,CK10,N2,0.1461,0.6664,6.32
alanylleucine,CK10,N2,0.1043,0.6137,0.93
cyclo(gly-pro),CK10,N2,0.6327,0.9004,1.14
glycylisoleucine,CK10,N2,0.1932,0.7399,0.65
glycylleucine,CK10,N2,0.1623,0.7023,0.70
glycylvaline,CK10,N2,0.1491,0.6696,0.80
histidylalanine,CK10,N2,0.2624,0.7760,2.52
isoleucylglycine,CK10,N2,0.2077,0.7569,1.49
leucylalanine,CK10,N2,0.1396,0.6603,1.17
leucylglycine,CK10,N2,0.0544,0.5375,1.96
lysylleucine,CK10,N2,0.2340,0.7718,3.24
phenylalanylalanine,CK10,N2,0.2808,0.7903,2.18
phenylalanylglycine,CK10,N2,0.2571,0.7760,2.45
phenylalanylhydroxyproline*,CK10,N2,1.0000,0.9311,1.00
prolylglycine,CK10,N2,0.4308,0.8633,0.84
threonylphenylalanine,CK10,N2,0.1143,0.6233,1.26
tyrosylglycine,CK10,N2,0.4786,0.8633,1.66
valylglutamine,CK10,N2,0.0225,0.4312,3.01
valylglycine,CK10,N2,0.0977,0.6137,2.27
valylleucine,CK10,N2,0.0488,0.5375,1.73
leucylglutamine*,CK10,N2,0.0777,0.5792,1.62
alanyl-glutamyl-meso-diaminopimelate,CK10,N2,0.7002,0.9036,0.66
phenylacetylcarnitine,CK10,N2,0.3034,0.8085,0.25
phenylacetylglutamine,CK10,N2,0.5815,0.8911,1.90
"N,N-dimethyl-pro-pro",CK10,N2,0.0229,0.4312,0.69
"1,5-anhydroglucitol (1,5-AG)",CK10,N2,0.6653,0.9036,1.02
glucose,CK10,N2,0.0516,0.5375,4.08
glucose 6-phosphate,CK10,N2,0.3976,0.8630,0.29
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",CK10,N2,0.6067,0.8934,0.53
dihydroxyacetone phosphate (DHAP),CK10,N2,0.0479,0.5375,0.30
2-phosphoglycerate,CK10,N2,0.5844,0.8912,0.31
3-phosphoglycerate,CK10,N2,0.3781,0.8498,0.49
phosphoenolpyruvate (PEP),CK10,N2,0.4763,0.8633,0.55
pyruvate,CK10,N2,0.1605,0.6987,0.31
lactate,CK10,N2,0.9234,0.9266,1.00
glycerate,CK10,N2,0.9961,0.9311,0.94
6-phosphogluconate,CK10,N2,0.1467,0.6664,0.43
ribose 1-phosphate,CK10,N2,0.7821,0.9036,0.41
sedoheptulose-7-phosphate,CK10,N2,0.6297,0.9004,0.91
ribose,CK10,N2,0.5052,0.8633,2.04
ribitol,CK10,N2,0.2974,0.8014,0.52
ribonate,CK10,N2,0.5192,0.8682,0.91
arabitol/xylitol,CK10,N2,0.1090,0.6137,0.60
arabonate/xylonate,CK10,N2,0.1046,0.6137,0.33
sedoheptulose,CK10,N2,0.8213,0.9045,1.26
lyxonate,CK10,N2,0.8000,0.9045,0.91
maltotetraose,CK10,N2,0.9418,0.9292,2.59
maltotriose,CK10,N2,0.7532,0.9036,1.11
maltose,CK10,N2,0.4053,0.8633,1.63
lactobionate,CK10,N2,0.0682,0.5657,0.06
trehalose,CK10,N2,0.9076,0.9243,0.14
trehalose 6-phosphate,CK10,N2,1.0000,0.9311,1.00
mannitol/sorbitol,CK10,N2,0.0669,0.5657,0.55
mannose,CK10,N2,0.5229,0.8705,1.06
galactitol (dulcitol),CK10,N2,0.1203,0.6366,0.51
UDP-glucose,CK10,N2,0.4213,0.8633,0.18
UDP-galactose,CK10,N2,0.7267,0.9036,0.20
UDP-glucuronate,CK10,N2,0.1043,0.6137,0.03
UDP-N-acetylglucosamine/galactosamine,CK10,N2,0.2274,0.7718,0.40
deoxythymidine diphosphate-rhamnose,CK10,N2,0.4980,0.8633,0.38
glucosamine-6-phosphate,CK10,N2,0.3753,0.8498,0.28
glucuronate,CK10,N2,0.7737,0.9036,1.23
diacetylchitobiose,CK10,N2,0.4739,0.8633,2.57
N-acetylglucosamine 6-phosphate,CK10,N2,0.0490,0.5375,0.33
N-acetyl-glucosamine 1-phosphate,CK10,N2,0.8280,0.9045,1.46
N-acetylmuramate,CK10,N2,0.5616,0.8852,1.67
N-acetylglucosaminylasparagine,CK10,N2,0.0467,0.5375,0.48
erythronate*,CK10,N2,0.4935,0.8633,0.87
N-acetylglucosamine/N-acetylgalactosamine,CK10,N2,0.7782,0.9036,1.02
N6-carboxymethyllysine,CK10,N2,0.1046,0.6137,2.61
citrate,CK10,N2,0.5118,0.8660,0.68
aconitate [cis or trans],CK10,N2,0.7881,0.9036,0.58
isocitrate,CK10,N2,0.8205,0.9045,0.69
alpha-ketoglutarate,CK10,N2,0.9284,0.9266,0.68
succinylcarnitine (C4-DC),CK10,N2,0.9050,0.9243,1.44
succinate,CK10,N2,0.8263,0.9045,0.46
fumarate,CK10,N2,0.2653,0.7760,0.18
malate,CK10,N2,0.0026,0.1583,0.21
2-methylcitrate/homocitrate,CK10,N2,0.1111,0.6137,0.39
phosphate,CK10,N2,0.3872,0.8533,0.82
acetyl CoA,CK10,N2,0.2625,0.7760,0.23
butyrate/isobutyrate (4:0),CK10,N2,0.4759,0.8633,1.59
caprate (10:0),CK10,N2,0.2906,0.7903,0.80
cis-4-decenoate (10:1n6)*,CK10,N2,0.0387,0.5315,0.16
10-undecenoate (11:1n1),CK10,N2,0.1112,0.6137,0.58
laurate (12:0),CK10,N2,0.1253,0.6484,0.87
5-dodecenoate (12:1n7),CK10,N2,0.1687,0.7106,0.91
myristate (14:0),CK10,N2,0.1233,0.6474,0.73
stearate (18:0),CK10,N2,0.4575,0.8633,1.12
nonadecanoate (19:0),CK10,N2,0.2581,0.7760,2.89
arachidate (20:0),CK10,N2,0.5067,0.8633,1.61
behenate (22:0)*,CK10,N2,0.6373,0.9004,0.96
myristoleate (14:1n5),CK10,N2,0.1084,0.6137,0.55
palmitoleate (16:1n7),CK10,N2,0.3418,0.8372,0.82
oleate/vaccenate (18:1),CK10,N2,0.4486,0.8633,0.78
eicosenoate (20:1),CK10,N2,0.1281,0.6534,0.72
erucate (22:1n9),CK10,N2,0.0208,0.4312,0.35
tetradecadienoate (14:2)*,CK10,N2,0.4582,0.8633,1.17
hexadecatrienoate (16:3n3),CK10,N2,0.2222,0.7718,0.40
heptadecatrienoate (17:3)*,CK10,N2,0.4340,0.8633,1.31
stearidonate (18:4n3),CK10,N2,0.5340,0.8771,1.18
eicosapentaenoate (EPA; 20:5n3),CK10,N2,0.7595,0.9036,0.84
docosapentaenoate (n3 DPA; 22:5n3),CK10,N2,0.9820,0.9311,0.94
docosatrienoate (22:3n3),CK10,N2,0.0814,0.5792,0.19
hexadecadienoate (16:2n6),CK10,N2,0.5788,0.8911,0.68
linoleate (18:2n6),CK10,N2,0.3398,0.8372,0.58
linolenate [alpha or gamma; (18:3n3 or 6)],CK10,N2,0.7846,0.9036,1.04
dihomo-linoleate (20:2n6),CK10,N2,0.0526,0.5375,0.44
dihomo-linolenate (20:3n3 or n6),CK10,N2,0.8691,0.9160,1.00
arachidonate (20:4n6),CK10,N2,0.4066,0.8633,1.18
docosadienoate (22:2n6),CK10,N2,0.0017,0.1226,0.05
(12 or 13)-methylmyristate (a15:0 or i15:0),CK10,N2,0.7852,0.9036,1.09
(14 or 15)-methylpalmitate (a17:0 or i17:0),CK10,N2,0.3367,0.8372,0.85
(16 or 17)-methylstearate (a19:0 or i19:0),CK10,N2,0.3168,0.8279,0.28
glutarate (C5-DC),CK10,N2,0.5861,0.8912,0.07
2-hydroxyglutarate,CK10,N2,0.2680,0.7766,0.84
3-hydroxyadipate,CK10,N2,0.0879,0.6036,2.48
maleate,CK10,N2,0.2922,0.7905,3.31
suberate (C8-DC),CK10,N2,0.3211,0.8279,1.61
azelate (C9-DC),CK10,N2,0.0416,0.5375,0.59
sebacate (C10-DC),CK10,N2,0.6248,0.9004,0.61
dodecanedioate (C12-DC),CK10,N2,0.7145,0.9036,0.82
dodecadienoate (12:2)*,CK10,N2,0.7157,0.9036,1.16
tetradecanedioate (C14-DC),CK10,N2,0.6310,0.9004,0.95
hexadecanedioate (C16-DC),CK10,N2,0.0580,0.5375,1.59
hexadecenedioate (C16:1-DC)*,CK10,N2,0.2583,0.7760,2.58
octadecanedioate (C18-DC),CK10,N2,0.5552,0.8852,1.13
octadecenedioate (C18:1-DC),CK10,N2,0.7259,0.9036,0.55
octadecadienedioate (C18:2-DC)*,CK10,N2,0.2465,0.7760,0.40
nonadecanedioate (C19-DC),CK10,N2,0.1972,0.7399,0.40
propionylcarnitine (C3),CK10,N2,0.0027,0.1583,0.18
methylmalonate (MMA),CK10,N2,0.2397,0.7760,3.02
acetylcarnitine (C2),CK10,N2,0.4939,0.8633,0.70
octanoylcarnitine (C8),CK10,N2,0.0377,0.5279,2.71
"cis-3,4-methyleneheptanoylcarnitine",CK10,N2,0.0121,0.3592,3.64
pentadecanoylcarnitine (C15)*,CK10,N2,0.4093,0.8633,0.40
palmitoylcarnitine (C16),CK10,N2,0.5997,0.8934,0.48
margaroylcarnitine (C17)*,CK10,N2,0.3818,0.8498,0.39
stearoylcarnitine (C18),CK10,N2,0.5034,0.8633,0.99
arachidoylcarnitine (C20)*,CK10,N2,0.0724,0.5792,1.60
behenoylcarnitine (C22)*,CK10,N2,0.4472,0.8633,1.13
lignoceroylcarnitine (C24)*,CK10,N2,0.1039,0.6137,1.53
cerotoylcarnitine (C26)*,CK10,N2,0.8864,0.9187,0.99
3-decenoylcarnitine,CK10,N2,0.9787,0.9311,1.82
cis-4-decenoylcarnitine (C10:1),CK10,N2,0.3049,0.8095,0.65
undecenoylcarnitine (C11:1),CK10,N2,0.0172,0.4155,0.39
5-dodecenoylcarnitine (C12:1),CK10,N2,0.0565,0.5375,0.24
myristoleoylcarnitine (C14:1)*,CK10,N2,0.0357,0.5097,0.33
palmitoleoylcarnitine (C16:1)*,CK10,N2,0.0501,0.5375,0.18
oleoylcarnitine (C18:1),CK10,N2,0.2662,0.7760,0.23
eicosenoylcarnitine (C20:1)*,CK10,N2,0.4987,0.8633,0.39
linoleoylcarnitine (C18:2)*,CK10,N2,0.0324,0.4985,0.08
dihomo-linoleoylcarnitine (C20:2)*,CK10,N2,0.5060,0.8633,0.18
arachidonoylcarnitine (C20:4),CK10,N2,0.4957,0.8633,0.36
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,CK10,N2,0.9861,0.9311,0.62
(R)-3-hydroxybutyrylcarnitine,CK10,N2,0.4435,0.8633,1.46
(S)-3-hydroxybutyrylcarnitine,CK10,N2,0.5895,0.8934,1.31
3-hydroxyoctanoylcarnitine (1),CK10,N2,0.7136,0.9036,0.71
3-hydroxydecanoylcarnitine,CK10,N2,0.1755,0.7246,0.51
3-hydroxyoleoylcarnitine,CK10,N2,0.0676,0.5657,0.24
deoxycarnitine,CK10,N2,0.1946,0.7399,0.74
carnitine,CK10,N2,0.9265,0.9266,0.81
3-hydroxybutyrate (BHBA),CK10,N2,0.6945,0.9036,1.59
acetylcholine,CK10,N2,0.0108,0.3592,0.34
myristoylcholine*,CK10,N2,0.4664,0.8633,1.32
palmitoylcholine,CK10,N2,0.0118,0.3592,0.28
oleoylcholine,CK10,N2,0.0938,0.6100,0.21
linoleoylcholine*,CK10,N2,0.0049,0.2335,0.08
stearoylcholine*,CK10,N2,0.0556,0.5375,0.25
arachidonoylcholine,CK10,N2,0.1358,0.6598,0.42
eicosapentaenoylcholine,CK10,N2,0.6357,0.9004,0.82
4-hydroxybutyrate (GHB),CK10,N2,0.1679,0.7106,0.34
2-hydroxystearate,CK10,N2,0.4449,0.8633,0.95
2-hydroxybehenate,CK10,N2,0.6819,0.9036,1.01
2-hydroxylignocerate*,CK10,N2,0.6554,0.9036,1.39
3-hydroxyvalerate,CK10,N2,0.6689,0.9036,1.23
3-hydroxyhexanoate,CK10,N2,0.5347,0.8771,0.85
3-hydroxyoctanoate,CK10,N2,0.3288,0.8316,0.71
3-hydroxylaurate,CK10,N2,0.9876,0.9311,1.45
3-hydroxymyristate,CK10,N2,0.3476,0.8372,0.98
3-hydroxystearate,CK10,N2,0.8339,0.9077,0.63
5-hydroxyhexanoate,CK10,N2,0.0068,0.2865,0.24
8-hydroxyoctanoate,CK10,N2,0.0749,0.5792,0.37
"12,13-DiHOME",CK10,N2,0.0499,0.5375,0.19
"9,10-DiHOME",CK10,N2,0.0571,0.5375,0.08
"2S,3R-dihydroxybutyrate",CK10,N2,0.9176,0.9243,0.76
"2R,3R-dihydroxybutyrate",CK10,N2,0.6380,0.9004,0.68
"17,18-DiHETE",CK10,N2,0.5987,0.8934,0.94
5-HEPE,CK10,N2,0.1633,0.7023,1.51
oleoyl ethanolamide,CK10,N2,0.6503,0.9036,0.52
myristoyl ethanolamide,CK10,N2,0.9168,0.9243,0.64
palmitoyl ethanolamide,CK10,N2,0.4693,0.8633,0.97
stearoyl ethanolamide,CK10,N2,0.6664,0.9036,0.93
eicosapentaenoyl ethanolamide,CK10,N2,0.1698,0.7106,2.21
arachidonoyl ethanolamide,CK10,N2,0.0075,0.2990,4.21
linoleoyl ethanolamide,CK10,N2,0.0676,0.5657,0.12
linolenoyl ethanolamide,CK10,N2,0.6861,0.9036,1.26
palmitoleoyl ethanolamide*,CK10,N2,0.4199,0.8633,1.47
margaroyl ethanolamide*,CK10,N2,0.7588,0.9036,0.52
myo-inositol,CK10,N2,0.7269,0.9036,1.00
chiro-inositol,CK10,N2,1.0000,0.9311,1.00
choline,CK10,N2,0.1593,0.6977,0.69
choline phosphate,CK10,N2,0.3457,0.8372,0.72
cytidine 5'-diphosphocholine,CK10,N2,0.2870,0.7903,0.27
glycerophosphorylcholine (GPC),CK10,N2,0.3715,0.8498,0.85
phosphoethanolamine,CK10,N2,0.2329,0.7718,0.43
cytidine-5'-diphosphoethanolamine,CK10,N2,0.1029,0.6137,0.22
glycerophosphoethanolamine,CK10,N2,0.2858,0.7903,0.91
glycerophosphoserine*,CK10,N2,0.1951,0.7399,0.54
glycerophosphoinositol*,CK10,N2,0.4408,0.8633,0.37
trimethylamine N-oxide,CK10,N2,0.9120,0.9243,0.20
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),CK10,N2,0.0092,0.3269,2.03
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),CK10,N2,0.7516,0.9036,0.64
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,CK10,N2,0.4579,0.8633,1.36
"1,2-distearoyl-GPC (18:0/18:0)",CK10,N2,0.0332,0.4985,2.14
1-stearoyl-2-oleoyl-GPC (18:0/18:1),CK10,N2,0.4819,0.8633,0.92
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,CK10,N2,0.0235,0.4312,0.53
