,WT,Tau,Abeta,Tau;Abeta
pccb-1;Cre-pccb-1;CAEBREN_09852;;pccb-1;pccb-1,1,0,0,0
fkb-6,1,0,0,0
vha-8,1,0,0,0
CBG11896;CRE_23157;CAEBREN_07787;;T25G3.4,1,0,0,0
ivd-1;CRE_13526;Cre-ivd-1;CAEBREN_04277;CAEBREN_05425;ivd-1,1,0,0,0
CELE_T28D6.3,1,0,0,0
acdh-3,1,0,0,0
spd-5,1,0,0,0
ucr-2.1,1,0,0,0
vit-1,1,0,0,0
CRE_00668;C45B2.1,1,0,0,0
CELE_R53.5,1,0,0,0
rpt-6,1,0,0,0
hpo-29,1,0,0,0
ima-2,1,0,0,0
cnx-1,1,0,0,0
pod-1,1,0,0,0
pam-1,1,0,0,0
rps-6,1,0,0,0
zig-11,1,0,0,0
T25B9.9,1,0,0,0
mdh-1,1,0,0,0
CAEBREN_11096;Cre-snb-1;;snb-1;snb-1,1,0,0,0
CRE_03750;CAEBREN_03344;CAEBREN_09310;;CELE_Y37E3.10,1,0,0,0
CRE_20809;CAEBREN_11438;icd-2;icd-2,1,0,0,0
B0250.5,1,0,0,0
sqv-4,1,0,0,0
rpl-8,1,0,0,0
CELE_T14G10.5;CBG03408;CRE_29898;CELE_T14G10.5;CAEBREN_20098;CAEBREN_07602;T14G10.5;CELE_T14G10.5,1,0,0,0
rps-23;Cre-rps-23;Cbn-rps-23;;rps-23,1,0,0,0
cpn-3,1,0,0,0
enpl-1,1,0,0,0
pgp-2,1,0,0,0
CBG06201;CRE_15539;CAEBREN_13021;;CELE_ZK829.7,1,0,0,0
plin-1,1,0,0,0
Cre-rps-15;CAEBREN_00931;;;rps-15,1,0,0,0
mlc-5,1,0,0,0
cey-2,1,0,0,0
rab-6.1;rab-6.2;Cre-rab-6.2;Cre-rab-6.1;Cbn-rab-6.2;Cbn-rab-6.1;;;rab-6.1;rab-6.2;;;rab-6.1;rab-6.2,1,0,0,0
rpl-30;Cre-rpl-30;CAEBREN_13637;;rpl-30;rpl-30,1,0,0,0
;;unc-89,1,0,0,0
tbg-1,1,0,0,0
CBG01313;CAEBREN_17254;CAEBREN_05444;CELE_T22F3.3;CELE_T22F3.3,1,0,0,0
tns-1,1,0,0,0
emb-4,1,0,0,0
ttr-15,1,0,0,0
CAEBREN_26252;gta-1,1,0,0,0
CELE_Y53G8AL.2,1,0,0,0
CRE_23295,1,0,0,0
Cre-rps-20;Cbn-rps-20;;rps-20,1,0,0,0
CELE_Y71H2AM.5,1,0,0,0
Cre-rpl-11.1;rpl-11.1,1,0,0,0
acdh-9,1,0,0,0
vgln-1,1,0,0,0
ldh-1;Cre-ldh-1;CAEBREN_12160;;ldh-1,1,0,0,0
cyp-14a5,1,0,0,0
pyr-1,1,0,0,0
CRE_20355,1,0,0,0
cct-1,1,0,0,0
cct-2,1,0,0,0
erfa-3,1,0,0,0
fipr-21,1,0,0,0
rps-3,1,0,0,0
gpx-2,1,0,0,0
rpl-13,1,0,0,0
Cre-rpl-7;rpl-7,1,0,0,0
ostb-1,1,0,0,0
eif-3.C,1,0,0,0
mca-3;mca-3;Cre-mca-3;CAEBREN_01621;;;mca-3;mca-3;mca-3;mca-3;mca-3,1,0,0,0
cct-5;Cre-cct-5;Cbn-cct-5;;cct-5,1,0,0,0
C04F12.1,1,0,0,0
rps-8,1,0,0,0
sams-1,1,0,0,0
rps-7,1,0,0,0
NEDG_02065;rpt-2;Cre-rpt-2;CAEBREN_12205;;rpt-2,1,0,0,0
ifa-1;Cre-ifa-1;ifa-1,1,0,0,0
CAEBREN_01734;dnj-12,1,0,0,0
rpt-4,1,0,0,0
CELE_F46H5.7,1,0,0,0
acdh-12,1,0,0,0
dlat-1;CRE_30652;CRE_30653;CAEBREN_15446;dlat-1,1,0,0,0
Cre-aldo-2;Cbn-aldo-2;aldo-2,1,0,0,0
nkb-1;CRE_08143;;;nkb-1,1,0,0,0
cas-1,1,0,0,0
ifa-2,1,0,0,0
Cre-rpl-10;Cbn-rpl-10;;rpl-10,1,0,0,0
rps-16,1,0,0,0
CELE_ZK180.6,1,0,0,0
dhs-28,1,0,0,0
rpl-15,1,0,0,0
rps-17,1,0,0,0
CRE_00434;CAEBREN_03117;gpd-2;gpd-3,1,0,0,0
rpl-20,1,0,0,0
Cre-rps-14;Cbn-rps-14;;rps-14,1,0,0,0
vha-12,1,0,0,0
rps-18,1,0,0,0
vha-11,1,0,0,0
rpl-27;Csp3_JD03.003;Cre-rpl-27;CAEBREN_29493;rpl-27,1,0,0,0
rps-12,1,0,0,0
sca-1,1,0,0,0
rpn-2,1,0,0,0
ucr-2.2,1,0,0,0
;cct-7;cct-7,1,0,0,0
rpl-22,1,0,0,0
alh-4,1,0,0,0
rpl-7A,1,0,0,0
CAEBREN_11738;alh-8,1,0,0,0
F37C4.5,1,0,0,0
rpl-34;rpl-34;CRE_07160;CAEBREN_03513;,1,0,0,0
vha-15,1,0,0,0
rpl-23;Cre-rpl-23;Cbn-rpl-23;;;rpl-23,1,0,0,0
ftt-2;ftt-2;Cre-ftt-2;;ftt-2;ftt-2;;;,1,0,0,0
rpl-35,1,0,0,0
C15H9.9,1,0,0,0
sdhb-1,1,0,0,0
egl-45,1,0,0,0
rpa-0,1,0,0,0
;rps-26,1,0,0,0
mig-6,1,0,0,0
rps-10,1,0,0,0
sucg-1,1,0,0,0
pdi-2,1,0,0,0
rps-25;rps-25;Cre-rps-25;CAEBREN_06134;;rps-25,1,0,0,0
cisd-1;cisd-1;klp-17,1,0,0,0
vha-16,1,0,0,0
rpl-36;Cre-rpl-36;rpl-36,1,0,0,0
rps-9;Cre-rps-9;Cbn-rps-9;;rps-9,1,0,0,0
nduf-7,1,0,0,0
asb-2,1,0,0,0
CELE_Y54E10BR.5,1,0,0,0
R53.4,1,0,0,0
nex-3,1,0,0,0
CBG00970;CRE_16463;CAEBREN_05038;;C05C10.3,1,0,0,0
rps-24,1,0,0,0
rpl-5,1,0,0,0
lec-6,1,0,0,0
C14F11.4,1,0,0,0
CBG09393;CRE_30778;CELE_F08F3.4,1,0,0,0
ifa-4,1,0,0,0
rpl-32;Cbn-rpl-32;;rpl-32,1,0,0,0
CELE_Y69A2AR.18,1,0,0,0
C39D10.7,1,0,1,0
tct-1,1,0,1,0
cyn-7,1,0,1,0
ttr-32,1,0,1,0
unc-60,1,0,1,0
Cre-lbp-1;lbp-1;lbp-2,1,0,1,0
far-1,1,0,1,0
gdh-1,1,0,1,0
egg-1,1,0,1,0
F46H5.3,1,0,1,0
tkt-1,1,0,1,0
far-2,1,0,1,0
CAEBREN_07268;CAEBREN_18694;;CELE_T19B10.2,1,0,1,0
pgk-1,1,0,1,0
rps-11;CRE_12804;CAEBREN_18508;rps-11,1,0,1,0
prdx-2,1,0,1,0
nex-1,1,0,1,0
deps-1,1,0,1,0
asna-1,1,0,1,0
ttr-14,1,0,1,0
Cre-gpa-16;Cbn-gpa-16;;gpa-16,1,0,1,0
pdi-3,1,0,1,0
Cre-his-31;CRE_08190;CAEBREN_10787;Cbn-his-18;CBG01500;;;his-1,1,0,1,0
daf-22,1,0,1,0
CELE_T22B7.7,1,0,1,0
pdi-1,1,0,1,0
vha-13,1,0,1,0
rpl-16,1,0,1,0
aco-2,1,0,1,0
rps-27;Cre-rps-27;CAEBREN_04377;rps-27,1,0,1,0
col-184,1,0,1,0
pck-2,1,0,1,0
lec-2,1,0,1,0
rab-1;Cre-rab-1;rab-1;rab-1,1,0,1,0
ahcy-1,1,0,1,0
hsp-4,1,0,1,0
unc-15,1,0,1,0
Cre-cts-1;CAEBREN_23321;cts-1;cts-1,1,0,1,0
vit-5,1,0,1,0
rpl-4,1,0,1,0
rpl-3,1,0,1,0
vit-2,1,0,1,0
ret-1,1,0,1,0
mel-32,1,0,1,0
CBG22093;CAEBREN_18943;CAEBREN_06461;CELE_Y37E3.17;CELE_Y37E3.17,1,0,1,0
Cre-rpl-21;rpl-21,1,0,1,0
par-5,1,0,1,0
rpl-19;Cre-rpl-19;rpl-19,1,0,1,0
rps-1;Cre-rps-1;Cbn-rps-1;rps-1;rps-1,1,0,1,0
hsp-1,1,0,1,0
gpd-1;gpd-4,1,0,1,0
vit-4,1,0,1,0
eat-6,1,0,1,0
dim-1;Cre-dim-1;;dim-1,1,0,1,0
rpl-6,1,0,1,0
rps-2,1,0,1,0
lips-11,1,0,1,1
lys-7,1,0,1,1
numr-2,1,0,1,1
B0513.4,1,0,1,1
CELE_Y62H9A.5,1,0,1,1
CELE_ZK813.3,1,0,1,1
CELE_Y62H9A.3,1,0,1,1
CELE_D1054.11,1,0,1,1
ttr-2,1,0,1,1
atn-1,1,0,1,1
CELE_F13G11.3,1,0,1,1
CELE_ZK1321.4,1,0,1,1
tln-1,1,0,1,1
CELE_E02D9.1,1,0,1,1
alp-1,1,0,1,1
pqn-22,1,0,1,1
rde-12,1,0,1,1
pcp-5,1,0,1,1
CELE_F55B11.2,1,0,1,1
car-1,1,0,1,1
cle-1;cle-1;cle-1;cle-1;,1,0,1,1
ddx-17,1,0,1,1
mcm-7,1,0,1,1
pars-1,1,0,1,1
zyg-9,1,0,1,1
ttr-25,1,0,1,1
Cre-ttr-24;Cbn-ttr-24;ttr-24,1,0,1,1
Cbn-ttr-51;CAEBREN_29192;;ttr-51,1,0,1,1
mcm-2,1,0,1,1
CELE_W01F3.2,1,0,1,1
nmt-1,1,0,1,1
mcm-5,1,0,1,1
cht-3,1,0,1,1
cbd-1,1,0,1,1
mcm-4,1,0,1,1
CELE_F21D5.1,1,0,1,1
vbh-1,1,0,1,1
C44B7.5,1,0,1,1
epi-1,1,0,1,1
sip-1,1,0,1,1
aars-2,1,0,1,1
let-805,1,0,1,1
laf-1,1,0,1,1
CELE_F48E3.4,1,0,1,1
hrp-2,1,0,1,1
cand-1,1,0,1,1
dhc-1,1,0,1,1
CELE_T19D12.4,1,0,1,1
ubq-1;ubq-2;ubq-2;Cre-ubq-2;Cre-ubq-1;CRE_04940;CAEBREN_32771;Cbn-ubq-2;ubq-1;;;ubq-1;ubq-2;ubq-1,1,0,1,1
T19H12.2,1,0,1,1
uba-1,1,0,1,1
ola-1,1,0,1,1
acdh-10,1,0,1,1
xpo-1,1,0,1,1
mtch-1,1,0,1,1
nmy-2,1,0,1,1
CAEBREN_19695;inf-1,1,0,1,1
fln-1,1,0,1,1
pgl-3,1,0,1,1
glh-1,1,0,1,1
unc-70;Cre-unc-70;CAEBREN_07293;unc-70;;unc-70;unc-70,1,0,1,1
rrt-1;rars-1,1,0,1,1
eif-3.B,1,0,1,1
chc-1,1,0,1,1
C42D4.1,1,0,1,1
pfn-1,1,0,1,1
hel-1;Cre-hel-1;Cbn-hel-1;hel-1,1,0,1,1
;erfa-1,1,0,1,1
lfi-1,1,0,1,1
C18B2.3,1,0,1,1
csr-1,1,0,1,1
fib-1,1,0,1,1
vab-10,1,0,1,1
;pab-1,1,0,1,1
cgh-1,1,0,1,1
flu-2,1,0,1,1
ketn-1,1,0,1,1
CRE_12191;B0303.3,1,0,1,1
rme-1,1,0,1,1
CBG05718;T22D1.3;CELE_T22D1.3,1,0,1,1
acs-4,1,0,1,1
Cbn-eft-3;eft-3.1;eft-3,1,0,1,1
fasn-1,1,0,1,1
drs-1,1,0,1,1
hsp-16.1;,1,0,1,1
T20B12.7,1,0,1,1
mua-3,1,0,1,1
Cre-deb-1;Cbn-deb-1;deb-1;deb-1;deb-1;deb-1,1,0,1,1
mup-4,1,0,1,1
C07D8.6,1,0,1,1
ppw-1,1,0,1,1
CAEBREN_01116;CAEBREN_00245;unc-87;unc-87,1,0,1,1
acdh-7,1,0,1,1
mrs-1,1,0,1,1
gfat-1,1,0,1,1
lec-5,1,0,1,1
CELE_R13H4.2,1,0,1,1
daf-21,1,0,1,1
nol-5,1,0,1,1
hsp-6,1,0,1,1
paa-1,1,0,1,1
gfat-2,1,0,1,1
kin-19;Cre-kin-19;kin-19,1,0,1,1
cpi-1,1,0,1,1
eef-2,1,0,1,1
tsn-1,1,0,1,1
trs-1;tars-1,1,0,1,1
ech-1.2,1,0,1,1
pat-4,1,0,1,1
CBG07939;Cre-tba-2;CAEBREN_17499;;tba-2,1,0,1,1
myo-3,1,0,1,1
gcn-1,1,0,1,1
imb-3,1,0,1,1
suca-1,1,0,1,1
tba-1,1,0,1,1
CELE_W08E12.7,1,0,1,1
sdha-1;Cre-sdha-1;Cbn-sdha-1;sdha-1,1,0,1,1
CELE_T08G11.1,1,0,1,1
CRE_12866;K07C5.4,1,0,1,1
cdc-48.1,1,0,1,1
lam-1,1,0,1,1
asp-4,1,0,1,1
rps-4,1,0,1,1
lec-1,1,0,1,1
rps-0,1,0,1,1
ifb-1,1,0,1,1
tbb-1;tbb-2;Cre-tbb-2;CAEBREN_24123;;tbb-2,1,0,1,1
CELE_F48C1.9,1,0,0,1
hgrs-1;CAEBREN_13026;CAEBREN_07693;hgrs-1,1,0,0,1
CELE_T04A8.7,1,0,0,1
mcm-3,1,0,0,1
CELE_Y45F10B.13,1,0,0,1
zbp-1,1,0,0,1
cgp-1;Cre-cgp-1;cgp-1,1,0,0,1
ife-1,1,0,0,1
ttr-54,1,0,0,1
sma-1,1,0,0,1
gsk-3,1,0,0,1
alg-2,1,0,0,1
C41G11.1,1,0,0,1
sec-31,1,0,0,1
CAEBREN_02069;comt-4,1,0,0,1
ttr-50,1,0,0,1
CELE_ZK1058.9,1,0,0,1
acs-13,1,0,0,1
rfc-2,1,0,0,1
nas-11,1,0,0,1
Cbn-ima-3;CAEBREN_29201;ima-3,1,0,0,1
lam-2,1,0,0,1
mcm-6,1,0,0,1
C08F11.11,1,0,0,1
tyr-4,1,0,0,1
ttr-6,1,0,0,1
rpb-2;Cre-rpb-2;Cbn-rpb-2;;rpb-2,1,0,0,1
CRE_15326;;CELE_F20D1.3,1,0,0,1
K12D12.1,1,0,0,1
ttr-8,1,0,0,1
CELE_F21C10.7,1,0,0,1
glh-4,1,0,0,1
efa-6,1,0,0,1
glrx-3,1,0,0,1
CELE_D2045.2,1,0,0,1
pgl-1,1,0,0,1
let-711;let-711;let-711;ntl-1,1,0,0,1
CELE_Y57G11B.5,1,0,0,1
copa-1,1,0,0,1
mel-47,1,0,0,1
rmd-1,1,0,0,1
dur-1,1,0,0,1
CRE_24595;;;snrp-200,1,0,0,1
iffb-1,1,0,0,1
uaf-1,1,0,0,1
arp-1,1,0,0,1
copb-1,1,0,0,1
CBG09456;CRE_16922;CAEBREN_16590;Cbn-unc-44;unc-44;;unc-44;unc-44;unc-44;unc-44;unc-44;unc-44;unc-44;unc-44;unc-44;unc-44;unc-44,1,0,0,1
F42A8.1,1,0,0,1
C36A4.4,1,0,0,1
C46G7.2,1,0,0,1
egl-4,1,0,0,1
iff-1,1,0,0,1
vps-4,1,0,0,1
CELE_T23E7.2,1,0,0,1
lrs-1,1,0,0,1
gpdh-2,1,0,0,1
nrs-1,1,0,0,1
nmy-1,1,0,0,1
ZC434.8,1,0,0,1
gsy-1;Cre-gsy-1;gsy-1,1,0,0,1
CELE_H34C03.2,1,0,0,1
rop-1,1,0,0,1
wars-1,1,0,0,1
ttr-18,1,0,0,1
acly-2,1,0,0,1
abcf-2;,1,0,0,1
rpa-1,1,0,0,1
rpn-3,1,0,0,1
mlt-7;Cre-mlt-7;;mlt-7,1,0,0,1
ttr-59,1,0,0,1
alx-1,1,0,0,1
Cre-rpt-1;Cbn-rpt-1;;rpt-1,1,0,0,1
csq-1;Cre-csq-1;Cbn-csq-1;;csq-1,1,0,0,1
spc-1,1,0,0,1
cpt-1,1,0,0,1
CELE_Y53H1B.2,1,0,0,1
nasp-2,1,0,0,1
vrs-2,1,0,0,1
F32D1.5,1,0,0,1
tag-320,1,0,0,1
CBG18356;Cre-acdh-11;Cbn-acdh-11;;acdh-11,1,0,0,1
hsp-43,1,0,0,1
CELE_R05F9.6,1,0,0,1
sti-1,1,0,0,1
cct-4;CAEBREN_05033;cct-4,1,0,0,1
CBG13232;CBG13234;hsp-70;CRE_04869;Cre-hsp-70;CRE_01029;CBG13233;CELE_F44E5.4;;;;hsp-70,1,0,0,1
irs-1,1,0,0,1
unc-22,1,0,0,1
cct-8,1,0,0,1
pyc-1,1,0,0,1
idha-1,1,0,0,1
lec-4,1,0,0,1
CELE_Y37E3.8,1,1,0,1
