metabolite,numerator,denominator,p-value,q-value,FC
lysine,CK10,N2,0.647,1,0.11
N2-acetyllysine,CK10,N2,0.3578,1,1.39
N6-acetyllysine,CK10,N2,0.9723,1,0.92
"N2,N6-diacetyllysine",CK10,N2,0.7648,1,1.17
N6-methyllysine,CK10,N2,0.8173,1,1.07
"N6,N6,N6-trimethyllysine",CK10,N2,0.9356,1,1.01
"hydroxy-N6,N6,N6-trimethyllysine*",CK10,N2,0.7542,1,0.92
5-hydroxylysine,CK10,N2,0.8647,1,0.86
fructosyllysine,CK10,N2,0.4401,1,0.68
saccharopine,CK10,N2,0.3175,1,1.38
2-aminoadipate,CK10,N2,0.7116,1,1.35
2-oxoadipate,CK10,N2,0.4238,1,0.76
pipecolate,CK10,N2,0.9855,1,0.98
6-oxopiperidine-2-carboxylate,CK10,N2,0.3735,1,1.38
cadaverine,CK10,N2,0.1513,1,1.92
N-acetyl-cadaverine,CK10,N2,0.9264,1,0.93
5-aminovalerate,CK10,N2,0.7312,1,0.67
"N,N,N-trimethyl-5-aminovalerate",CK10,N2,0.4688,1,0.4
phenylalanine,CK10,N2,0.7674,1,1.12
N-acetylphenylalanine,CK10,N2,0.8966,1,0.78
phenylpyruvate,CK10,N2,0.1193,1,1.56
phenyllactate (PLA),CK10,N2,0.539,1,1.43
phenethylamine,CK10,N2,0.0691,1,1.98
phenylacetate,CK10,N2,0.2346,1,0.32
2-hydroxyphenylacetate,CK10,N2,0.8223,1,0.79
4-hydroxyphenylacetate,CK10,N2,0.5019,1,1.17
tyrosine,CK10,N2,0.7172,1,1.12
N-acetyltyrosine,CK10,N2,0.557,1,0.59
tyramine,CK10,N2,0.2508,1,1.49
4-hydroxyphenylpyruvate,CK10,N2,0.1365,1,2.35
homogentisate,CK10,N2,0.9326,1,0.23
3-(4-hydroxyphenyl)lactate,CK10,N2,0.7083,1,1.05
dopamine,CK10,N2,0.816,1,1.25
o-tyrosine,CK10,N2,0.7319,1,1.22
O-methyltyrosine,CK10,N2,0.7173,1,0.73
gentisate,CK10,N2,0.8903,1,1.21
N-formylphenylalanine,CK10,N2,0.9229,1,1.03
tryptophan,CK10,N2,0.8848,1,1.05
N-acetyltryptophan,CK10,N2,0.927,1,0.89
C-glycosyltryptophan,CK10,N2,0.1548,1,0.74
oxindolylalanine,CK10,N2,0.994,1,0.98
N-formylkynurenine,CK10,N2,0.8395,1,1.01
kynurenine,CK10,N2,0.7513,1,1.22
kynurenate,CK10,N2,0.9216,1,0.82
N-formylanthranilic acid,CK10,N2,0.5951,1,0.61
anthranilate,CK10,N2,0.7881,1,0.9
picolinate,CK10,N2,0.7887,1,1.08
N-acetylserotonin,CK10,N2,0.743,1,0.83
indolelactate,CK10,N2,0.8331,1,1.07
indoleacetate,CK10,N2,0.8232,1,0.34
tryptophol,CK10,N2,0.8048,1,0.52
indole-3-carboxylate,CK10,N2,0.8985,1,1.05
leucine,CK10,N2,0.737,1,0.87
N-acetylleucine,CK10,N2,0.8416,1,0.87
4-methyl-2-oxopentanoate,CK10,N2,0.1256,1,2.33
alpha-hydroxyisocaproate,CK10,N2,0.8033,1,1.15
isovaleryl/2-methylbutyryl CoA,CK10,N2,0.8321,1,0.7
isovalerate (i5:0),CK10,N2,0.6791,1,1.16
isovalerylglycine,CK10,N2,0.7382,1,1.06
isovalerylcarnitine (C5),CK10,N2,0.8807,1,1.08
beta-hydroxyisovalerate,CK10,N2,0.7002,1,1.19
beta-hydroxyisovaleroylcarnitine,CK10,N2,0.8817,1,0.94
beta-hydroxyisovalerylglycine,CK10,N2,0.7312,1,1.11
3-methylglutaconate,CK10,N2,0.803,1,0.99
isoleucine,CK10,N2,0.9221,1,0.96
N-acetylisoleucine,CK10,N2,0.8388,1,0.89
3-methyl-2-oxovalerate,CK10,N2,0.1378,1,2.1
2-hydroxy-3-methylvalerate,CK10,N2,0.6684,1,1.06
2-methylbutyrylcarnitine (C5),CK10,N2,0.9532,1,1
tiglylcarnitine (C5:1-DC),CK10,N2,0.5687,1,1.23
ethylmalonate,CK10,N2,0.7334,1,1.22
methylsuccinate,CK10,N2,0.7205,1,0.8
valine,CK10,N2,0.8172,1,1.05
N-acetylvaline,CK10,N2,0.7478,1,0.72
3-methyl-2-oxobutyrate,CK10,N2,0.1059,1,1.85
alpha-hydroxyisovalerate,CK10,N2,0.4018,1,1.59
isobutyrylcarnitine (C4),CK10,N2,0.7222,1,0.88
3-hydroxyisobutyrate,CK10,N2,0.0934,1,2.17
methionine,CK10,N2,0.9207,1,1.03
N-acetylmethionine,CK10,N2,0.9127,1,0.92
N-formylmethionine,CK10,N2,0.8346,1,0.85
methionine sulfone,CK10,N2,0.7329,1,0.76
methionine sulfoxide,CK10,N2,0.7404,1,0.68
N-acetylmethionine sulfoxide,CK10,N2,0.5208,1,0.69
S-adenosylmethionine (SAM),CK10,N2,0.9213,1,0.87
S-adenosylhomocysteine (SAH),CK10,N2,0.5403,1,0.14
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",CK10,N2,0.8462,1,0.93
2-hydroxy-4-(methylthio)butanoic acid,CK10,N2,0.2469,1,1.73
cystathionine,CK10,N2,0.8633,1,0.87
cysteine,CK10,N2,0.6586,1,1.21
N-acetylcysteine,CK10,N2,0.5579,1,1.39
S-methylcysteine,CK10,N2,0.9114,1,1.1
S-methylcysteine sulfoxide,CK10,N2,0.6773,1,0.51
cysteine s-sulfate,CK10,N2,0.2358,1,0.1
cystine,CK10,N2,0.3834,1,0.16
lanthionine,CK10,N2,0.4976,1,1.17
hypotaurine,CK10,N2,0.6214,1,1.29
taurine,CK10,N2,0.7159,1,1.17
N-acetyltaurine,CK10,N2,0.6587,1,1.29
3-sulfo-alanine,CK10,N2,0.4423,1,0.25
cyano-alanine,CK10,N2,0.3059,1,2.16
arginine,CK10,N2,0.8482,1,1.07
argininosuccinate,CK10,N2,0.9376,1,0.83
urea,CK10,N2,0.9968,1,1.03
ornithine,CK10,N2,0.7348,1,1.16
3-amino-2-piperidone,CK10,N2,0.8634,1,0.89
2-oxoarginine*,CK10,N2,0.3991,1,1.06
citrulline,CK10,N2,0.9254,1,0.66
homoarginine,CK10,N2,0.69,1,0.62
homocitrulline,CK10,N2,0.9166,1,0.78
proline,CK10,N2,0.8599,1,1.05
dimethylarginine (SDMA + ADMA),CK10,N2,0.4642,1,1.2
N-acetylarginine,CK10,N2,0.666,1,0.87
N-delta-acetylornithine,CK10,N2,0.7349,1,0.78
trans-4-hydroxyproline,CK10,N2,0.873,1,1.07
pro-hydroxy-pro,CK10,N2,0.8628,1,0.71
N-methylproline,CK10,N2,0.9125,1,0.97
N-monomethylarginine,CK10,N2,0.0961,1,1.63
argininate*,CK10,N2,0.2715,1,0.44
creatine,CK10,N2,0.1177,1,0.38
agmatine,CK10,N2,0.5395,1,1.23
acetylagmatine,CK10,N2,0.5627,1,1.99
putrescine,CK10,N2,0.845,1,0.91
N-acetylputrescine,CK10,N2,0.5923,1,0.34
N-carbamoylputrescine,CK10,N2,0.7198,1,1.06
isoputreanine,CK10,N2,0.8142,1,1.32
N-acetyl-isoputreanine,CK10,N2,0.959,1,0.7
spermidine,CK10,N2,0.2657,1,1.66
N('1)-acetylspermidine,CK10,N2,0.7159,1,1
diacetylspermidine*,CK10,N2,0.4956,1,0.41
spermine,CK10,N2,0.5668,1,2.02
N(1)-acetylspermine,CK10,N2,0.1707,1,2.44
"N1,N12-diacetylspermine",CK10,N2,0.9295,1,0.91
S-adenosylmethioninamine,CK10,N2,0.8714,1,1.32
5-methylthioadenosine (MTA),CK10,N2,0.4968,1,0.67
4-acetamidobutanoate,CK10,N2,0.621,1,1.3
4-guanidinobutanoate,CK10,N2,0.6347,1,1.48
"glutathione, reduced (GSH)",CK10,N2,0.3733,1,1.17
"glutathione, oxidized (GSSG)",CK10,N2,0.2572,1,1.67
cysteine-glutathione disulfide,CK10,N2,0.8471,1,1.04
cysteinylglycine,CK10,N2,0.3737,1,1.04
cysteinylglycine disulfide*,CK10,N2,0.6213,1,0.48
5-oxoproline,CK10,N2,0.0235,1,3.98
2-hydroxybutyrate/2-hydroxyisobutyrate,CK10,N2,0.9665,1,1
ophthalmate,CK10,N2,0.5323,1,1.07
"S-(1,2-dicarboxyethyl)glutathione",CK10,N2,0.0885,1,2.24
CoA-glutathione*,CK10,N2,0.409,1,1.89
gamma-glutamylalanine,CK10,N2,0.4465,1,0.55
gamma-glutamylcysteine,CK10,N2,0.9939,1,0.91
gamma-glutamylglutamate,CK10,N2,0.3081,1,1.61
gamma-glutamylglutamine,CK10,N2,0.4183,1,1.88
gamma-glutamylglycine,CK10,N2,0.228,1,2.04
gamma-glutamylhistidine,CK10,N2,0.3709,1,1.35
gamma-glutamylisoleucine*,CK10,N2,0.583,1,1.04
gamma-glutamylleucine,CK10,N2,0.8129,1,1.02
gamma-glutamyl-alpha-lysine,CK10,N2,0.6063,1,1.5
gamma-glutamylmethionine,CK10,N2,0.8036,1,0.74
gamma-glutamylphenylalanine,CK10,N2,0.5585,1,2.12
gamma-glutamylthreonine,CK10,N2,0.0663,1,2.97
gamma-glutamyltyrosine,CK10,N2,0.1807,1,1.91
gamma-glutamylvaline,CK10,N2,0.4814,1,3.18
gamma-glutamylserine,CK10,N2,0.1116,1,2.84
gamma-glutamylcitrulline*,CK10,N2,0.9134,1,0.77
leucylhydroxyproline*,CK10,N2,0.9798,1,0.84
alanylleucine,CK10,N2,0.9761,1,0.94
cyclo(gly-pro),CK10,N2,0.3896,1,0.79
glycylisoleucine,CK10,N2,0.713,1,0.72
glycylleucine,CK10,N2,0.8522,1,0.84
glycylvaline,CK10,N2,0.8207,1,0.82
histidylalanine,CK10,N2,0.8606,1,1.12
isoleucylglycine,CK10,N2,0.6402,1,1.35
leucylalanine,CK10,N2,0.7979,1,1.06
leucylglycine,CK10,N2,0.7832,1,1.17
lysylleucine,CK10,N2,0.8129,1,0.61
phenylalanylalanine,CK10,N2,0.7894,1,1.19
phenylalanylglycine,CK10,N2,0.8426,1,1.07
phenylalanylhydroxyproline*,CK10,N2,0.6499,1,0.65
prolylglycine,CK10,N2,0.8033,1,1.12
threonylphenylalanine,CK10,N2,0.7573,1,1.3
tyrosylglycine,CK10,N2,0.6123,1,1.15
valylglutamine,CK10,N2,0.8387,1,1.13
valylglycine,CK10,N2,0.803,1,1.1
valylleucine,CK10,N2,0.9318,1,1.01
leucylglutamine*,CK10,N2,0.8637,1,1.07
alanyl-glutamyl-meso-diaminopimelate,CK10,N2,0.8176,1,0.42
phenylacetylcarnitine,CK10,N2,0.119,1,1.74
phenylacetylglutamine,CK10,N2,0.9253,1,0.97
"N,N-dimethyl-pro-pro",CK10,N2,0.9375,1,0.98
"1,5-anhydroglucitol (1,5-AG)",CK10,N2,0.5691,1,1.2
glucose,CK10,N2,0.6318,1,1.21
glucose 6-phosphate,CK10,N2,0.3948,1,0.28
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",CK10,N2,0.7897,1,0.84
dihydroxyacetone phosphate (DHAP),CK10,N2,0.9424,1,0.92
2-phosphoglycerate,CK10,N2,0.3361,1,0.55
3-phosphoglycerate,CK10,N2,0.9754,1,1.16
phosphoenolpyruvate (PEP),CK10,N2,0.8608,1,1.16
pyruvate,CK10,N2,0.9312,1,0.33
lactate,CK10,N2,0.3239,1,0.81
glycerate,CK10,N2,0.2038,1,1.45
6-phosphogluconate,CK10,N2,0.4152,1,1.63
ribose 1-phosphate,CK10,N2,0.7667,1,0.46
sedoheptulose-7-phosphate,CK10,N2,0.9734,1,1.01
ribose,CK10,N2,0.4499,1,1.02
ribitol,CK10,N2,0.8257,1,0.92
ribonate,CK10,N2,0.7333,1,0.59
arabitol/xylitol,CK10,N2,0.9495,1,0.91
arabonate/xylonate,CK10,N2,0.4841,1,0.46
sedoheptulose,CK10,N2,0.3872,1,0.94
lyxonate,CK10,N2,0.0048,0.9183,0.01
maltotetraose,CK10,N2,0.6722,1,0.49
maltotriose,CK10,N2,0.4841,1,1.34
maltose,CK10,N2,0.0862,1,2.65
lactobionate,CK10,N2,0.9046,1,0.9
trehalose,CK10,N2,0.4135,1,0.2
trehalose 6-phosphate,CK10,N2,0.4809,1,0.35
mannitol/sorbitol,CK10,N2,0.7563,1,1.16
mannose,CK10,N2,0.4646,1,0.73
galactitol (dulcitol),CK10,N2,0.5788,1,0.75
UDP-glucose,CK10,N2,0.4429,1,0.18
UDP-galactose,CK10,N2,0.4963,1,0.08
UDP-glucuronate,CK10,N2,0.1166,1,0.03
UDP-N-acetylglucosamine/galactosamine,CK10,N2,0.2122,1,0.25
deoxythymidine diphosphate-rhamnose,CK10,N2,0.9037,1,0.96
glucosamine-6-phosphate,CK10,N2,0.7515,1,0.77
glucuronate,CK10,N2,0.6854,1,1.34
diacetylchitobiose,CK10,N2,0.1981,1,1.92
N-acetylglucosamine 6-phosphate,CK10,N2,0.1247,1,0.18
N-acetyl-glucosamine 1-phosphate,CK10,N2,0.115,1,0.15
N-acetylmuramate,CK10,N2,0.5104,1,0.38
N-acetylglucosaminylasparagine,CK10,N2,0.1282,1,1.66
erythronate*,CK10,N2,0.78,1,0.84
N-acetylglucosamine/N-acetylgalactosamine,CK10,N2,0.0654,1,1.84
N6-carboxymethyllysine,CK10,N2,0.7474,1,0.86
citrate,CK10,N2,0.3495,1,1.34
aconitate [cis or trans],CK10,N2,0.7753,1,0.33
isocitrate,CK10,N2,0.7853,1,0.56
alpha-ketoglutarate,CK10,N2,0.7315,1,0.93
succinylcarnitine (C4-DC),CK10,N2,0.8822,1,1.08
succinate,CK10,N2,0.4305,1,0.51
fumarate,CK10,N2,0.2849,1,0.29
malate,CK10,N2,0.5056,1,1.31
2-methylcitrate/homocitrate,CK10,N2,0.7338,1,1.01
phosphate,CK10,N2,0.9606,1,0.98
acetyl CoA,CK10,N2,0.0703,1,0.31
butyrate/isobutyrate (4:0),CK10,N2,0.9317,1,1.01
caprate (10:0),CK10,N2,0.9376,1,1.06
cis-4-decenoate (10:1n6)*,CK10,N2,0.7032,1,0.71
10-undecenoate (11:1n1),CK10,N2,0.9376,1,1.08
laurate (12:0),CK10,N2,0.3915,1,1.45
5-dodecenoate (12:1n7),CK10,N2,0.7765,1,0.84
myristate (14:0),CK10,N2,0.2306,1,1.67
stearate (18:0),CK10,N2,0.3828,1,1.48
nonadecanoate (19:0),CK10,N2,0.2649,1,2.31
arachidate (20:0),CK10,N2,0.4347,1,1.46
behenate (22:0)*,CK10,N2,0.618,1,1.63
myristoleate (14:1n5),CK10,N2,0.7982,1,1.05
palmitoleate (16:1n7),CK10,N2,0.42,1,1.42
oleate/vaccenate (18:1),CK10,N2,0.3982,1,1.56
eicosenoate (20:1),CK10,N2,0.987,1,0.98
erucate (22:1n9),CK10,N2,0.4599,1,0.59
tetradecadienoate (14:2)*,CK10,N2,0.796,1,0.74
hexadecatrienoate (16:3n3),CK10,N2,0.451,1,1.68
heptadecatrienoate (17:3)*,CK10,N2,0.2469,1,2.3
stearidonate (18:4n3),CK10,N2,0.0986,1,2.35
eicosapentaenoate (EPA; 20:5n3),CK10,N2,0.1674,1,2.25
docosapentaenoate (n3 DPA; 22:5n3),CK10,N2,0.4136,1,1.43
docosatrienoate (22:3n3),CK10,N2,0.9098,1,1.01
hexadecadienoate (16:2n6),CK10,N2,0.4423,1,1.51
linoleate (18:2n6),CK10,N2,0.6066,1,1.29
linolenate [alpha or gamma; (18:3n3 or 6)],CK10,N2,0.201,1,2.17
dihomo-linoleate (20:2n6),CK10,N2,0.7186,1,0.67
dihomo-linolenate (20:3n3 or n6),CK10,N2,0.1016,1,2.24
arachidonate (20:4n6),CK10,N2,0.0325,1,1.91
docosadienoate (22:2n6),CK10,N2,0.8288,1,0.79
(12 or 13)-methylmyristate (a15:0 or i15:0),CK10,N2,0.2055,1,1.79
(14 or 15)-methylpalmitate (a17:0 or i17:0),CK10,N2,0.5006,1,1.25
(16 or 17)-methylstearate (a19:0 or i19:0),CK10,N2,0.3611,1,1.77
glutarate (C5-DC),CK10,N2,0.6118,1,1.13
2-hydroxyglutarate,CK10,N2,0.9003,1,1.06
3-hydroxyadipate,CK10,N2,0.1071,1,2.17
maleate,CK10,N2,0.8425,1,0.74
suberate (C8-DC),CK10,N2,0.9599,1,0.79
azelate (C9-DC),CK10,N2,0.2359,1,0.65
sebacate (C10-DC),CK10,N2,0.8447,1,1.06
dodecanedioate (C12-DC),CK10,N2,0.6427,1,0.85
dodecadienoate (12:2)*,CK10,N2,0.8454,1,0.69
tetradecanedioate (C14-DC),CK10,N2,0.8801,1,0.95
hexadecanedioate (C16-DC),CK10,N2,0.8893,1,1.06
hexadecenedioate (C16:1-DC)*,CK10,N2,0.8725,1,0.98
octadecanedioate (C18-DC),CK10,N2,0.5576,1,1.42
octadecenedioate (C18:1-DC),CK10,N2,0.0969,1,0.5
octadecadienedioate (C18:2-DC)*,CK10,N2,0.119,1,0.42
nonadecanedioate (C19-DC),CK10,N2,0.7312,1,1.27
propionylcarnitine (C3),CK10,N2,0.3156,1,0.46
methylmalonate (MMA),CK10,N2,0.1714,1,1.12
acetylcarnitine (C2),CK10,N2,0.0102,1,0.27
octanoylcarnitine (C8),CK10,N2,0.5496,1,0.71
"cis-3,4-methyleneheptanoylcarnitine",CK10,N2,0.2037,1,0.56
pentadecanoylcarnitine (C15)*,CK10,N2,0.7702,1,0.82
palmitoylcarnitine (C16),CK10,N2,0.9306,1,1
margaroylcarnitine (C17)*,CK10,N2,0.976,1,0.85
stearoylcarnitine (C18),CK10,N2,0.3279,1,1.81
arachidoylcarnitine (C20)*,CK10,N2,0.1799,1,1.7
behenoylcarnitine (C22)*,CK10,N2,0.2684,1,1.47
lignoceroylcarnitine (C24)*,CK10,N2,0.4179,1,1.23
cerotoylcarnitine (C26)*,CK10,N2,0.6581,1,1.19
3-decenoylcarnitine,CK10,N2,0.5786,1,0.69
cis-4-decenoylcarnitine (C10:1),CK10,N2,0.6572,1,0.73
undecenoylcarnitine (C11:1),CK10,N2,0.4887,1,0.72
5-dodecenoylcarnitine (C12:1),CK10,N2,0.8035,1,0.7
myristoleoylcarnitine (C14:1)*,CK10,N2,0.4235,1,0.59
palmitoleoylcarnitine (C16:1)*,CK10,N2,0.3589,1,0.55
oleoylcarnitine (C18:1),CK10,N2,0.5571,1,0.58
eicosenoylcarnitine (C20:1)*,CK10,N2,0.8819,1,0.84
linoleoylcarnitine (C18:2)*,CK10,N2,0.1622,1,0.41
dihomo-linoleoylcarnitine (C20:2)*,CK10,N2,0.317,1,0.42
arachidonoylcarnitine (C20:4),CK10,N2,0.927,1,1.02
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,CK10,N2,0.861,1,0.91
(R)-3-hydroxybutyrylcarnitine,CK10,N2,0.6053,1,0.7
(S)-3-hydroxybutyrylcarnitine,CK10,N2,0.751,1,0.85
3-hydroxyoctanoylcarnitine (1),CK10,N2,0.532,1,0.68
3-hydroxydecanoylcarnitine,CK10,N2,0.479,1,0.69
3-hydroxyoleoylcarnitine,CK10,N2,0.35,1,0.61
deoxycarnitine,CK10,N2,0.5714,1,0.85
carnitine,CK10,N2,0.8425,1,1.06
3-hydroxybutyrate (BHBA),CK10,N2,0.5476,1,0.75
acetylcholine,CK10,N2,0.0046,0.9183,0.27
myristoylcholine*,CK10,N2,0.8708,1,1.26
palmitoylcholine,CK10,N2,0.3135,1,0.7
oleoylcholine,CK10,N2,0.6429,1,0.75
linoleoylcholine*,CK10,N2,0.5217,1,0.69
stearoylcholine*,CK10,N2,0.5579,1,1.29
arachidonoylcholine,CK10,N2,0.6032,1,1.29
eicosapentaenoylcholine,CK10,N2,0.9019,1,1.07
4-hydroxybutyrate (GHB),CK10,N2,0.983,1,0.79
2-hydroxystearate,CK10,N2,0.5512,1,1.5
2-hydroxybehenate,CK10,N2,0.5317,1,1.19
2-hydroxylignocerate*,CK10,N2,0.231,1,1.5
3-hydroxyvalerate,CK10,N2,0.5936,1,0.94
3-hydroxyhexanoate,CK10,N2,0.9857,1,0.82
3-hydroxyoctanoate,CK10,N2,0.8805,1,0.72
3-hydroxylaurate,CK10,N2,0.8562,1,1.1
3-hydroxymyristate,CK10,N2,0.56,1,0.71
3-hydroxystearate,CK10,N2,0.8548,1,1.14
5-hydroxyhexanoate,CK10,N2,0.455,1,0.7
8-hydroxyoctanoate,CK10,N2,0.9231,1,0.95
"12,13-DiHOME",CK10,N2,0.1797,1,0.4
"9,10-DiHOME",CK10,N2,0.2637,1,0.25
"2S,3R-dihydroxybutyrate",CK10,N2,0.652,1,0.56
"2R,3R-dihydroxybutyrate",CK10,N2,0.6588,1,1.14
"17,18-DiHETE",CK10,N2,0.7504,1,0.87
5-HEPE,CK10,N2,0.9811,1,1.09
oleoyl ethanolamide,CK10,N2,0.2639,1,0.54
myristoyl ethanolamide,CK10,N2,0.3364,1,1.7
palmitoyl ethanolamide,CK10,N2,0.9683,1,0.98
stearoyl ethanolamide,CK10,N2,0.5,1,0.74
eicosapentaenoyl ethanolamide,CK10,N2,0.7453,1,0.85
arachidonoyl ethanolamide,CK10,N2,0.9001,1,1.18
linoleoyl ethanolamide,CK10,N2,0.6973,1,0.77
linolenoyl ethanolamide,CK10,N2,0.8084,1,0.96
palmitoleoyl ethanolamide*,CK10,N2,0.3681,1,0.7
margaroyl ethanolamide*,CK10,N2,0.8768,1,1.08
myo-inositol,CK10,N2,0.6149,1,0.75
chiro-inositol,CK10,N2,0.1939,1,0.34
choline,CK10,N2,0.7386,1,0.92
choline phosphate,CK10,N2,0.4407,1,0.82
cytidine 5'-diphosphocholine,CK10,N2,0.8828,1,0.96
glycerophosphorylcholine (GPC),CK10,N2,0.0473,1,2.1
phosphoethanolamine,CK10,N2,0.6643,1,0.95
cytidine-5'-diphosphoethanolamine,CK10,N2,0.8071,1,1.2
glycerophosphoethanolamine,CK10,N2,0.2685,1,1.56
glycerophosphoserine*,CK10,N2,0.3295,1,1.35
glycerophosphoinositol*,CK10,N2,0.9433,1,0.68
trimethylamine N-oxide,CK10,N2,0.8344,1,1.69
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),CK10,N2,0.1274,1,1.89
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),CK10,N2,0.2929,1,1.59
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,CK10,N2,0.2749,1,0.66
"1,2-distearoyl-GPC (18:0/18:0)",CK10,N2,0.0271,1,2.62
1-stearoyl-2-oleoyl-GPC (18:0/18:1),CK10,N2,0.1785,1,1.52
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,CK10,N2,0.5864,1,1.14
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),CK10,N2,0.0138,1,2.68
"1,2-dioleoyl-GPC (18:1/18:1)",CK10,N2,0.4699,1,0.85
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,CK10,N2,0.0166,1,0.45
1-oleoyl-2-alpha-linolenoyl-GPC (18:1/18:3n3),CK10,N2,0.8986,1,1.2
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,CK10,N2,0.3685,1,0.66
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,CK10,N2,0.8048,1,0.96
"1,2-dipalmitoyl-GPE (16:0/16:0)*",CK10,N2,0.4764,1,0.51
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,CK10,N2,0.0748,1,0.47
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),CK10,N2,0.3346,1,0.61
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,CK10,N2,0.7439,1,1.17
1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*,CK10,N2,0.6976,1,0.66
1-stearoyl-2-oleoyl-GPE (18:0/18:1),CK10,N2,0.4172,1,0.76
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,CK10,N2,0.6335,1,0.79
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),CK10,N2,0.0505,1,1.78
"1,2-dioleoyl-GPE (18:1/18:1)",CK10,N2,0.0287,1,0.52
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,CK10,N2,0.0029,0.9183,0.43
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,CK10,N2,0.5807,1,0.85
"1,2-dilinoleoyl-GPE (18:2/18:2)*",CK10,N2,0.0068,1,0.39
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),CK10,N2,0.0617,1,1.55
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),CK10,N2,0.4181,1,0.47
1-palmitoleoyl-2-oleoyl-GPG (16:1/18:1)*,CK10,N2,0.8766,1,0.78
1-stearoyl-2-oleoyl-GPG (18:0/18:1),CK10,N2,0.518,1,1.64
1-stearoyl-2-linoleoyl-GPI (18:0/18:2),CK10,N2,0.8501,1,1.08
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),CK10,N2,0.1842,1,1.7
1-palmitoyl-GPC (16:0),CK10,N2,0.4005,1,0.81
1-palmitoleoyl-GPC (16:1)*,CK10,N2,0.6439,1,0.24
1-stearoyl-GPC (18:0),CK10,N2,0.1731,1,2.25
1-oleoyl-GPC (18:1),CK10,N2,0.79,1,0.82
1-linoleoyl-GPC (18:2),CK10,N2,0.5816,1,0.18
