CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
144,209,541,123169,Amino Acid,Phenylalanine Metabolism,159,NAMED,XQXPVVBIMDBYFF-UHFFFAOYSA-N,OC(CC1=CC=C(C=C1)O)=O,4-hydroxyphenylacetate,4-hydroxyphenylacetate,156-38-7,3881560,HMDB0000020,C00642,127,Neg
158,209,1418,123205,Nucleotide,"Pyrimidine Metabolism, Thymine containing",4281,NAMED,NBAKTGXDIBVZOO-UHFFFAOYSA-N,O=C(NCC1C)NC1=O,"5,6-dihydrothymine","5,6-dihydrothymine",696-04-8,84456,HMDB0000079,C00906,93556,Neg
171,209,3127,124615,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4121,NAMED,FDGQSTZJBFJUBT-UHFFFAOYSA-N,O=C1C(N=CN2)=C2N=CN1,hypoxanthine,hypoxanthine,68-94-0,768,HMDB0000157,C00262,"790,135398638",Neg
172,400,32352,155912,Nucleotide,"Purine Metabolism, Guanine containing",4184,NAMED,UYTPUPDQBNUYGX-UHFFFAOYSA-N,NC(N1)=NC2=C(NC=N2)C1=O,guanine,guanine,73-40-5,744,HMDB0000132,C00242,135398634,Pos Early
179,209,38399,143740,Lipid,"Fatty Acid, Dihydroxy",2032,NAMED,XEBKSQSGNGRGDW-YFHOEESVSA-N,CCCCC/C=C\CC(C(CCCCCCCC(O)=O)O)O,"9,10-DiHOME","9,10-DiHOME",263399-34-4,8142232,HMDB0004704,C14828,9966640,Neg
180,209,1105,125969,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1568,NAMED,OYHQOLUKZRVURQ-HZJYTTRNSA-N,OC(CCCCCCC/C=C\C/C=C\CCCCC)=O,linoleate (18:2n6),linoleate (18:2n6),60-33-3,4444105,"HMDB0006270,HMDB0000673",C01595,5280450,Neg
181,209,1645,125740,Lipid,Medium Chain Fatty Acid,1503,NAMED,POULHZVOKOAJMA-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCC,laurate (12:0),laurate (12:0),143-07-7,3756,HMDB0000638,C02679,3893,Neg
182,400,1899,155456,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4301,NAMED,GJAWHXHKYYXBSV-UHFFFAOYSA-N,OC(C(C=CC=N1)=C1C(O)=O)=O,quinolinate,quinolinate,89-00-9,1037,HMDB0000232,C03722,1066,Pos Early
186,400,64334,237352,Amino Acid,Tryptophan Metabolism,266,NAMED,BYHJHXPTQMMKCA-UHFFFAOYSA-N,NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O,N-formylkynurenine,N-formylkynurenine,1022-31-7,886,HMDB01200,"C15605,C02406,C02700",910,Pos Early
187,400,57689,213105,Amino Acid,Polyamine Metabolism,546,NAMED,MQTAVJHICJWXBR-UHFFFAOYSA-N,CC(NCCCNCCCCN)=O,N('1)-acetylspermidine,N('1)-acetylspermidine,14278-49-0,482,HMDB0001276,C00612,496,Pos Early
189,400,1498,155380,Amino Acid,Lysine Metabolism,116,NAMED,MXNRLFUSFKVQSK-UHFFFAOYSA-N,C[N+](C)(CCCCC(C([O-])=O)N)C,"N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",23284-33-5,140379,HMDB0001325,C03793,440120,Pos Early
192,400,37496,156406,Amino Acid,Polyamine Metabolism,538,NAMED,KLZGKIDSEJWEDW-UHFFFAOYSA-N,CC(NCCCCN)=O,N-acetylputrescine,N-acetylputrescine,18233-70-0,109095,HMDB0002064,C02714,122356,Pos Early
193,209,1500,150333,Amino Acid,Tryptophan Metabolism,288,NAMED,MVAWJSIDNICKHF-UHFFFAOYSA-N,CC(NCCC1=CNC2=CC=C(C=C12)O)=O,N-acetylserotonin,N-acetylserotonin,1210-83-9,879,HMDB0001238,C00978,903,Neg
194,209,2829,124831,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",437,NAMED,PYUSHNKNPOHWEZ-UHFFFAOYSA-N,CSCCC(C(O)=O)NC=O,N-formylmethionine,N-formylmethionine,4289-98-9,388809,HMDB0001015,C03145,439750,Neg
197,209,42382,124939,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",446,NAMED,ZJUKTBDSGOFHSH-UHFFFAOYSA-N,OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O,S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),979-92-0,16788012,HMDB0000939,C00021,439155,Neg
207,209,2831,123233,Nucleotide,"Purine Metabolism, Adenine containing",4143,NAMED,IVOMOUWHDPKRLL-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O,"adenosine 3',5'-cyclic monophosphate (cAMP)","adenosine 3',5'-cyclic monophosphate (cAMP)",60-92-4,268,HMDB0000058,C00575,6076,Neg
209,400,32342,155907,Nucleotide,"Purine Metabolism, Adenine containing",4140,NAMED,UDMBCSSLTHHNCD-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O,adenosine 5'-monophosphate (AMP),AMP,149022-20-8,10239183,HMDB0000045,C00020,6083,Pos Early
212,400,1419,155365,Amino Acid,Polyamine Metabolism,556,NAMED,WUUGFSXJNOTRMR-IOSLPCCCSA-N,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3,5-methylthioadenosine (MTA),5-methylthioadenosine (MTA),2457-80-9,388321,HMDB0001173,C00170,439176,Pos Early
213,400,37114,156329,Nucleotide,"Purine Metabolism, Adenine containing",4155,NAMED,VQAYFKKCNSOZKM-UHFFFAOYSA-N,OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3,N6-methyladenosine,N6-methyladenosine,1867-73-8,92307,HMDB0004044,,102175,Pos Early
218,305,33434,146950,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4135,NAMED,NUCLJNSWZCHRKL-UHFFFAOYSA-N,OC(C(NC(N)=O)NC(N)=O)=O,allantoic acid,allantoic acid,99-16-1,198,HMDB0001209,C00499,203,Polar
219,305,1763,147132,Carbohydrate,Pentose Phosphate Pathway,1255,NAMED,YXJDFQJKERBOBM-TXICZTDVSA-N,O[C@@H]1[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O,ribose 1-phosphate,ribose 1-phosphate,"50-99-7,58459-37-3",388373,HMDB0001489,C00620,439236,Polar
229,402,1110,157891,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1574,NAMED,YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O,arachidonate (20:4n6),arachidonate (20:4n6),506-32-1,392692,HMDB0001043,C00219,444899,Pos Late
231,400,1638,155435,Amino Acid,Urea cycle; Arginine and Proline Metabolism,483,NAMED,ODKSFYDXXFIFQN-UHFFFAOYSA-N,N=C(N)NCCCC(N)C(O)=O,arginine,arginine,1119-34-2,227,HMDB0000517,C00062,6322,Pos Early
232,400,15497,155552,Amino Acid,Urea cycle; Arginine and Proline Metabolism,484,NAMED,KDZOASGQNOPSCU-UHFFFAOYSA-N,NC(C(O)=O)CCCNC(NC(C(O)=O)CC(O)=O)=N,argininosuccinate,argininosuccinate,156637-58-0,805,HMDB0000052,C03406,60150382,Pos Early
233,400,32354,155914,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4348,NAMED,CIWBSHSKHKDKBQ-UHFFFAOYSA-N,OCC(O)C1OC(C(O)=C1O)=O,ascorbate (vitamin C),ascorbate (vitamin C),134-03-2,10189562,HMDB0000044,"D00018,C00072",54670067,Pos Early
234,400,443,155304,Amino Acid,Alanine and Aspartate Metabolism,36,NAMED,CKLJMWTZIZZHCS-UHFFFAOYSA-N,NC(C(O)=O)CC(O)=O,aspartate,aspartate,56-84-8,5745,HMDB0000191,C00049,5960,Pos Early
235,209,1432,124555,Amino Acid,Phenylalanine Metabolism,156,NAMED,CCVYRRGZDBSHFU-UHFFFAOYSA-N,OC(CC1=C(O)C=CC=C1)=O,2-hydroxyphenylacetate,2-hydroxyphenylacetate,614-75-5,11476,HMDB0000669,C05852,11970,Neg
236,209,521,150331,Amino Acid,Tyrosine Metabolism,178,NAMED,IGMNYECMUMZDDF-UHFFFAOYSA-N,OC(CC(C=C1O)=C(C=C1)O)=O,homogentisate,homogentisate,"306-08-1,451-13-8",759,HMDB0000130,C00544,780,Neg
240,209,32197,123321,Amino Acid,Tyrosine Metabolism,181,NAMED,JVGVDSSUAVXRDY-UHFFFAOYSA-N,OC(C(O)=O)CC1=CC=C(O)C=C1,3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate (HPLA),6482-98-0,9010,HMDB0000755,C03672,9378,Neg
241,209,566,124529,Amino Acid,Phenylalanine Metabolism,150,NAMED,BTNMPGBKDVTSJY-UHFFFAOYSA-N,O=C(C(O)=O)CC1=CC=CC=C1,phenylpyruvate,phenylpyruvate,156-06-9,972,HMDB0000205,C00166,997,Neg
244,400,55,155295,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4240,NAMED,UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(O)=O,beta-alanine,beta-alanine,"107-95-9,56-41-7",234,HMDB0000056,C00099,239,Pos Early
250,402,2137,158009,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4412,NAMED,QBUVFDKTZJNUPP-YBRAVLHJSA-N,CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O,biliverdin,biliverdin,"55482-27-4,55482-27-4",10628548,HMDB0001008,C00500,5280353,Pos Late
251,400,568,155324,Cofactors and Vitamins,Biotin Metabolism,4385,NAMED,YBJHBAHKTGYVGT-UHFFFAOYSA-N,OC(CCCCC(SC1)C(N2)C1NC2=O)=O,biotin,biotin,58-85-5,149962,HMDB0000030,C00120,171548,Pos Early
252,305,1437,147106,Energy,TCA Cycle,1449,NAMED,KDYFGRWQOYBRFD-UHFFFAOYSA-N,OC(CCC(O)=O)=O,succinate,succinate,110-15-6,1078,HMDB0000254,C00042,1110,Polar
254,305,542,145710,Lipid,Ketone Bodies,1939,NAMED,WHBMMWSBFZVSSR-UHFFFAOYSA-N,CC(O)CC(O)=O,3-hydroxybutyrate (BHBA),3-hydroxybutyrate (BHBA),625-72-9,428,"HMDB0000442,HMDB0000357,HMDB0000011","C03197,C01089","94318,441,92135",Polar
264,402,1099,161403,Lipid,Sterol,3196,NAMED,UCTLRSWJYQTBFZ-UHFFFAOYSA-N,CC12C(C3=CC=C4CC(O)CCC4(C)C3CC2)CCC1C(C)CCCC(C)C,7-dehydrocholesterol,7-dehydrocholesterol,434-16-2,388534,HMDB0000032,C01164,439423,Pos Late
267,400,34396,156099,Lipid,Phospholipid Metabolism,2234,NAMED,YHHSONZFOIEMCP-UHFFFAOYSA-N,C[N+](C)(CCOP(O)([O-])=O)C,choline phosphate,phosphocholine,72556-74-2,119298,HMDB0001565,C00588,1014,Pos Early
269,209,62804,220430,Amino Acid,Glutathione Metabolism,593,NAMED,JYKWMJBUIXNJOG-JHKACSFWSA-N,O[C@H]1[C@H](N2C(N=CN=C3N)=C3N=C2)O[C@H](COP(OP(OCC(C)(C)C(C(NCCC(NCCSSC[C@@H](C(NCC(O)=O)=O)NC(CC[C@@H](C(O)=O)N)=O)=O)=O)O)(O)=O)(O)=O)[C@H]1OP(O)(O)=O,CoA-glutathione*,CoA-glutathione*,6477-52-7,10128089,,C00920,46873828,Neg
270,209,46322,145265,Cofactors and Vitamins,Pantothenate and CoA Metabolism,4343,NAMED,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,CC(COP(O)(OP(O)(OCC1OC(N2C=NC3=C2N=CN=C3N)C(C1OP(O)(O)=O)O)=O)=O)(C(C(NCCC(NCCS)=O)=O)O)C,coenzyme A,CoA,"85-61-0,18439-24-2",311,HMDB0001423,C00010,87642,Neg
278,400,35637,156206,Amino Acid,Glutathione Metabolism,576,NAMED,ZUKPVRWZDMRIEO-UHFFFAOYSA-N,NC(C(NCC(O)=O)=O)CS,cysteinylglycine,cysteinylglycine,19246-18-5,58762,HMDB0000078,C01419,439498,Pos Early
279,400,56,155296,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",462,NAMED,LEVWYRKDKASIDU-UHFFFAOYSA-N,NC(C(O)=O)CSSCC(N)C(O)=O,cystine,cystine,56-89-3,575,HMDB0000192,C00491,67678,Pos Early
280,209,2841,127537,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4247,NAMED,ZWIADYZPOWUWEW-UHFFFAOYSA-N,NC1=NC(N(C2OC(C(C2O)O)COP(O)(OP(O)(O)=O)=O)C=C1)=O,cytidine diphosphate,cytidine diphosphate,34393-59-4,5902,HMDB0001546,C00112,6132,Neg
282,400,2372,155469,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4248,NAMED,IERHLVCPSMICTF-UHFFFAOYSA-N,NC1=NC(N(C2OC(C(C2O)O)COP(O)(O)=O)C=C1)=O,cytidine 5'-monophosphate (5'-CMP),CMP,63-37-6,5414497,HMDB0000095,C00055,6131,Pos Early
290,305,580,146412,Carbohydrate,Aminosugar Metabolism,1403,NAMED,XHMJOUIAFHJHBW-UHFFFAOYSA-N,NC1C(OC(C(C1O)O)COP(O)(O)=O)O,glucosamine-6-phosphate,glucosamine-6-phosphate,3616-42-0,8013767,HMDB0001254,C00352,440997,Polar
291,305,31260,147190,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1224,NAMED,NBSCHQHZLSJFNQ-UHFFFAOYSA-N,OC1OC(C(C(C1O)O)O)COP(O)(O)=O,glucose 6-phosphate,glucose 6-phosphate,103192-55-8,19952394,HMDB0001401,C00092,5958,Polar
298,400,533,155313,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4261,NAMED,NCMVOABPESMRCP-UHFFFAOYSA-N,NC1=NC(N(C2CC(C(O2)COP(O)(O)=O)O)C=C1)=O,2'-deoxycytidine 5'-monophosphate,dCMP,1032-65-1,5414501,HMDB0001202,C00239,13945,Pos Early
301,305,1659,152114,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4352,NAMED,SBJKKFFYIZUCET-UHFFFAOYSA-N,OCC(C1OC(C(C1=O)=O)=O)O,dehydroascorbate,dehydroascorbate,490-83-5,812,HMDB0001264,C05422,440667,Polar
302,209,1114,125714,Lipid,Secondary Bile Acid Metabolism,3480,NAMED,KXGVEGMKQFWNSR-OHAQSFBXSA-N,CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O,deoxycholate,deoxycholate,83-44-3,389318,HMDB0000626,C04483,"222528,440355",Neg
309,400,15522,155557,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1232,NAMED,GNGACRATGGDKBX-UHFFFAOYSA-N,OCC(COP(O)(O)=O)=O,dihydroxyacetone phosphate (DHAP),dihydroxyacetone phosphate (DHAP),102783-56-2,3833110,HMDB0001473,C00111,668,Pos Early
310,400,15705,155581,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",453,NAMED,ILRYLPWNYFXEMH-UHFFFAOYSA-N,OC(C(CCSCC(N)C(O)=O)N)=O,cystathionine,cystathionine,535-34-2,811,HMDB0000099,C02291,439258,Pos Early
313,402,17769,158166,Lipid,Sphingolipid Synthesis,3001,NAMED,OTKJDMGTUTTYMP-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(C(CO)N)O,sphinganine,sphinganine,3102-56-5,3014,HMDB0000269,C00836,3126,Pos Late
314,209,12125,165436,Lipid,Long Chain Saturated Fatty Acid,1520,NAMED,UKMSUNONTOPOIO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCC(O)=O,behenate (22:0)*,behenate (22:0)*,112-85-6,7923,HMDB0000944,C08281,8215,Neg
327,209,2134,124607,Cofactors and Vitamins,Riboflavin Metabolism,4334,NAMED,VWWQXMAJTJZDQX-KUIMXZBMSA-N,OC(C(O)C(O)COP(OP(OC[C@H]1O[C@@H](N(C=N2)C3=C2C(N)=NC=N3)[C@H](O)[C@@H]1O)(O)=O)(O)=O)CN(C(C=C(C)C(C)=C4)=C4N=C5C(N6)=O)C5=NC6=O,flavin adenine dinucleotide (FAD),FAD,"146-14-5,84366-81-4",559059,HMDB0001248,C00016,643975,Neg
330,305,1643,146876,Energy,TCA Cycle,1450,NAMED,VZCYOOQTPOCHFL-OWOJBTEDSA-N,OC(/C=C/C(O)=O)=O,fumarate,fumarate,100-17-8,10197150,HMDB0000134,C00122,444972,Polar
331,400,36738,156248,Peptide,Gamma-glutamyl Amino Acid,634,NAMED,OWQDWQKWSLFFFR-UHFFFAOYSA-N,O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O,gamma-glutamylglutamate,gamma-glutamylglutamate,1116-22-9,83831,HMDB0011737,C05282,92865,Pos Early
338,305,587,147098,Xenobiotics,Food Component/Plant,4806,NAMED,RGHNJXZEOKUKBD-SQOUGZDYSA-N,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O,gluconate,gluconate,527-07-1,10240,HMDB0000625,C00257,"10690,3085666",Polar
339,305,396,146390,Lipid,"Fatty Acid, Dicarboxylate",1660,NAMED,JFCQEDHGNNZCLN-UHFFFAOYSA-N,OC(CCCC(O)=O)=O,glutarate (C5-DC),glutarate (C5-DC),110-94-1,3618533,HMDB0000661,C00489,"743,4418048",Polar
340,400,58,160611,Amino Acid,"Glycine, Serine and Threonine Metabolism",1,NAMED,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(O)=O,glycine,glycine,56-40-6,730,HMDB0000123,C00037,750,Pos Early
342,209,18476,126842,Lipid,Primary Bile Acid Metabolism,3455,NAMED,RFDAIACWWDREDC-FRVQLJSFSA-N,O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O,glycocholate,glycocholate,"475-31-0,863-57-0",9734,HMDB0000138,C01921,10140,Neg
346,209,2848,164711,Nucleotide,"Purine Metabolism, Guanine containing",4177,NAMED,QGWNDRXFNXRZMB-UHFFFAOYSA-N,NC1=NC2=C(C(N1)=O)N=CN2C3OC(C(C3O)O)COP(O)(OP(O)(O)=O)=O,guanosine 5'-diphosphate (GDP),guanosine 5'-diphosphate (GDP),43139-22-6,8630,HMDB0001201,C00035,135398619,Neg
347,305,2849,145746,Nucleotide,"Purine Metabolism, Guanine containing",4178,NAMED,RQFCJASXJCIDSX-UHFFFAOYSA-N,NC1=NC2=C(C(N1)=O)N=CN2C3OC(C(C3O)O)COP(O)(O)=O,guanosine 5'-monophosphate (5'-GMP),5'- GMP,5550-12-9,741,HMDB0001397,C00144,6804,Polar
348,209,1411,124547,Nucleotide,"Purine Metabolism, Guanine containing",4201,NAMED,YKBGVTZYEHREMT-UHFFFAOYSA-N,OC1=C(N=CN2C(CC3O)OC3CO)C2=NC(N)=N1,2'-deoxyguanosine,2'-deoxyguanosine,961-07-9,163230,HMDB0000085,C00330,135398592,Neg
355,209,59,123153,Amino Acid,Histidine Metabolism,70,NAMED,HNDVDQJCIGZPNO-UHFFFAOYSA-N,NC(C(O)=O)CC1=CN=CN1,histidine,histidine,5934-29-2,752,HMDB0000177,C00135,6274,Neg
358,400,590,155331,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",470,NAMED,VVIUBCNYACGLLV-UHFFFAOYSA-N,NCCS(O)=O,hypotaurine,hypotaurine,300-84-5,96959,HMDB0000965,C00519,107812,Pos Early
361,209,1123,123191,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4120,NAMED,UGQMRVRMYYASKQ-KQYNXXCUSA-N,O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O,inosine,inosine,58-63-9,21241953,HMDB0000195,C00294,6021,Neg
362,305,2133,146454,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4119,NAMED,GRSZFWQUAKGDAV-UHFFFAOYSA-N,OC1C(C(N2C=NC3=C2N=CNC3=O)OC1COP(O)(O)=O)O,inosine 5'-monophosphate (IMP),inosine 5'-monophosphate (IMP),4691-65-0,5482599,HMDB0000175,C00130,8582,Polar
363,305,1124,145716,Lipid,Inositol Metabolism,2202,NAMED,CDAISMWEOUEBRE-GPIVLXJGSA-N,O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,myo-inositol,myo-inositol,87-89-8,10239179,HMDB0000211,C00137,892,Polar
376,400,1125,155350,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",385,NAMED,AGPKZVBTJJNPAG-UHFFFAOYSA-N,NC(C(O)=O)C(C)CC,isoleucine,isoleucine,73-32-5,769,HMDB0000172,"C06418,C00407,C16424",6306,Pos Early
